Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
3.168168e-01,2.173128e-07,2.755313e-01,1.546813e-07,2.877990e-01,6.213515e+01,2.877990e-01,1.546813e-07,2.755313e-01,2.173128e-07,2.531084e-08,9.947196e-03,6.420922e-07,2.757361e-03,1.201314e-24,2.757361e-03,6.420922e-07,9.947196e-03,2.531084e-08,
3.173173e-01,2.173082e-07,2.746296e-01,1.545274e-07,2.874916e-01,6.213515e+01,2.874916e-01,1.545274e-07,2.746296e-01,2.173082e-07,2.539368e-08,9.946889e-03,6.441430e-07,2.763144e-03,1.201314e-24,2.763144e-03,6.441430e-07,9.946889e-03,2.539368e-08,
3.178178e-01,2.173037e-07,2.737296e-01,1.543737e-07,2.871842e-01,6.213515e+01,2.871842e-01,1.543737e-07,2.737296e-01,2.173037e-07,2.547667e-08,9.946488e-03,6.461972e-07,2.768922e-03,1.201314e-24,2.768922e-03,6.461972e-07,9.946488e-03,2.547667e-08,
3.183183e-01,2.172991e-07,2.728313e-01,1.542201e-07,2.868766e-01,6.213515e+01,2.868766e-01,1.542201e-07,2.728313e-01,2.172991e-07,2.555980e-08,9.945993e-03,6.482548e-07,2.774695e-03,1.201314e-24,2.774695e-03,6.482548e-07,9.945993e-03,2.555980e-08,
3.188188e-01,2.172945e-07,2.719347e-01,1.540665e-07,2.865690e-01,6.213515e+01,2.865690e-01,1.540665e-07,2.719347e-01,2.172945e-07,2.564309e-08,9.945404e-03,6.503157e-07,2.780461e-03,1.201314e-24,2.780461e-03,6.503157e-07,9.945404e-03,2.564309e-08,
3.193193e-01,2.172900e-07,2.710398e-01,1.539131e-07,2.862614e-01,6.213515e+01,2.862614e-01,1.539131e-07,2.710398e-01,2.172900e-07,2.572653e-08,9.944723e-03,6.523800e-07,2.786222e-03,1.201314e-24,2.786222e-03,6.523800e-07,9.944723e-03,2.572653e-08,
3.198198e-01,2.172855e-07,2.701466e-01,1.537597e-07,2.859536e-01,6.213515e+01,2.859536e-01,1.537597e-07,2.701466e-01,2.172855e-07,2.581011e-08,9.943949e-03,6.544477e-07,2.791977e-03,1.201314e-24,2.791977e-03,6.544477e-07,9.943949e-03,2.581011e-08,
3.203203e-01,2.172810e-07,2.692552e-01,1.536065e-07,2.856457e-01,6.213515e+01,2.856457e-01,1.536065e-07,2.692552e-01,2.172810e-07,2.589385e-08,9.943084e-03,6.565187e-07,2.797726e-03,1.201314e-24,2.797726e-03,6.565187e-07,9.943084e-03,2.589385e-08,
3.208208e-01,2.172765e-07,2.683655e-01,1.534533e-07,2.853378e-01,6.213515e+01,2.853378e-01,1.534533e-07,2.683655e-01,2.172765e-07,2.597773e-08,9.942127e-03,6.585931e-07,2.803470e-03,1.201314e-24,2.803470e-03,6.585931e-07,9.942127e-03,2.597773e-08,
3.213213e-01,2.172720e-07,2.674775e-01,1.533003e-07,2.850298e-01,6.213515e+01,2.850298e-01,1.533003e-07,2.674775e-01,2.172720e-07,2.606176e-08,9.941079e-03,6.606709e-07,2.809208e-03,1.201314e-24,2.809208e-03,6.606709e-07,9.941079e-03,2.606176e-08,
3.218218e-01,2.172675e-07,2.665914e-01,1.531473e-07,2.847218e-01,6.213515e+01,2.847218e-01,1.531473e-07,2.665914e-01,2.172675e-07,2.614595e-08,9.939940e-03,6.627521e-07,2.814939e-03,1.201314e-24,2.814939e-03,6.627521e-07,9.939940e-03,2.614595e-08,
3.223223e-01,2.172630e-07,2.657069e-01,1.529945e-07,2.844136e-01,6.213515e+01,2.844136e-01,1.529945e-07,2.657069e-01,2.172630e-07,2.623028e-08,9.938711e-03,6.648366e-07,2.820665e-03,1.201314e-24,2.820665e-03,6.648366e-07,9.938711e-03,2.623028e-08,
3.228228e-01,2.172586e-07,2.648243e-01,1.528417e-07,2.841054e-01,6.213515e+01,2.841054e-01,1.528417e-07,2.648243e-01,2.172586e-07,2.631476e-08,9.937393e-03,6.669245e-07,2.826385e-03,1.201314e-24,2.826385e-03,6.669245e-07,9.937393e-03,2.631476e-08,
3.233233e-01,2.172541e-07,2.639434e-01,1.526891e-07,2.837972e-01,6.213515e+01,2.837972e-01,1.526891e-07,2.639434e-01,2.172541e-07,2.639939e-08,9.935985e-03,6.690158e-07,2.832099e-03,1.201314e-24,2.832099e-03,6.690158e-07,9.935985e-03,2.639939e-08,
3.238238e-01,2.172497e-07,2.630644e-01,1.525366e-07,2.834888e-01,6.213515e+01,2.834888e-01,1.525366e-07,2.630644e-01,2.172497e-07,2.648418e-08,9.934488e-03,6.711104e-07,2.837807e-03,1.201314e-24,2.837807e-03,6.711104e-07,9.934488e-03,2.648418e-08,
