Frequency [Hz],AA transfer function,AI transfer function,
3.833395e+03,0.6473584299846640-0.7508532985253450j,0.6473584299846640-0.7508532985253450j,
3.877828e+03,0.6393878991000936-0.7573777708275888j,0.6393878991000936-0.7573777708275888j,
3.922777e+03,0.6312417344211975-0.7638997901432666j,0.6312417344211975-0.7638997901432666j,
3.968246e+03,0.6229162790910361-0.7704163605658059j,0.6229162790910361-0.7704163605658059j,
4.014242e+03,0.6144078157083415-0.7769243247063677j,0.6144078157083415-0.7769243247063677j,
4.060772e+03,0.6057125670393804-0.7834203555028028j,0.6057125670393804-0.7834203555028028j,
4.107841e+03,0.5968266969764129-0.7899009475852203j,0.5968266969764129-0.7899009475852203j,
4.155455e+03,0.5877463117740276-0.7963624081755046j,0.5877463117740276-0.7963624081755046j,
4.203622e+03,0.5784674615980233-0.8028008474975564j,0.5784674615980233-0.8028008474975564j,
4.252346e+03,0.5689861424252749-0.8092121686745801j,0.5689861424252749-0.8092121686745801j,
4.301636e+03,0.5592982983370857-0.8155920570894426j,0.5592982983370857-0.8155920570894426j,
4.351497e+03,0.5493998242530379-0.8219359691839641j,0.5493998242530379-0.8219359691839641j,
4.401935e+03,0.5392865691572417-0.8282391206731089j,0.5392865691572417-0.8282391206731089j,
4.452959e+03,0.5289543398742408-0.8344964741503551j,0.5289543398742408-0.8344964741503551j,
4.504573e+03,0.5183989054576498-0.8407027260611808j,0.5183989054576498-0.8407027260611808j,
4.556786e+03,0.5076160022609519-0.8468522930226094j,0.5076160022609519-0.8468522930226094j,
4.609604e+03,0.4966013397667343-0.8529392974682357j,0.4966013397667343-0.8529392974682357j,
4.663035e+03,0.4853506072581100-0.8589575526001072j,0.4853506072581100-0.8589575526001072j,
4.717085e+03,0.4738594814240834-0.8649005466314454j,0.4738594814240834-0.8649005466314454j,
4.771761e+03,0.4621236349992854-0.8707614263074873j,0.4621236349992854-0.8707614263074873j,
4.827071e+03,0.4501387465477803-0.8765329796958662j,0.4501387465477803-0.8765329796958662j,
4.883022e+03,0.4379005115105862-0.8822076182430377j,0.4379005115105862-0.8822076182430377j,
4.939622e+03,0.4254046546471315-0.8877773580994809j,0.4254046546471315-0.8877773580994809j,
4.996877e+03,0.4126469440120869-0.8932338007238647j,0.4126469440120869-0.8932338007238647j,
5.054797e+03,0.3996232066208714-0.8985681127853388j,0.3996232066208714-0.8985681127853388j,
5.113388e+03,0.3863293459695338-0.9037710053936883j,0.3863293459695338-0.9037710053936883j,
5.172657e+03,0.3727613615876807-0.9088327126996179j,0.3727613615876807-0.9088327126996179j,
5.232614e+03,0.3589153708164708-0.9137429699220616j,0.3589153708164708-0.9137429699220616j,
5.293266e+03,0.3447876330173982-0.9184909908764679j,0.3447876330173982-0.9184909908764679j,
5.354621e+03,0.3303745764314183-0.9230654450977930j,0.3303745764314183-0.9230654450977930j,
5.416687e+03,0.3156728279217603-0.9274544346747078j,0.3156728279217603-0.9274544346747078j,
5.479472e+03,0.3006792458472404-0.9316454709376920j,0.3006792458472404-0.9316454709376920j,
5.542986e+03,0.2853909563257338-0.9356254511735602j,0.2853909563257338-0.9356254511735602j,
5.607235e+03,0.2698053931592629-0.9393806355729254j,0.2698053931592629-0.9393806355729254j,
5.672229e+03,0.2539203417024561-0.9428966246555291j,0.2539203417024561-0.9428966246555291j,
5.737976e+03,0.2377339869643023-0.9461583374616419j,0.2377339869643023-0.9461583374616419j,
5.804486e+03,0.2212449662385264-0.9491499908461674j,0.2212449662385264-0.9491499908461674j,
5.871766e+03,0.2044524265596558-0.9518550802661242j,0.2044524265596558-0.9518550802661242j,
5.939827e+03,0.1873560872790340-0.9542563625119534j,0.1873560872790340-0.9542563625119534j,
6.008676e+03,0.1699563080464915-0.9563358408989719j,0.1699563080464915-0.9563358408989719j,
