Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
2.602648e-01,1.0000035750477707+0.0082417167421368j,1.0000752566502342+0.8674625325313842j,
2.632815e-01,1.0000036584056353+0.0083372473692342j,1.0000770113783801+0.8775173879419272j,
2.663333e-01,1.0000037437071185+0.0084338853012645j,1.0000788070210547+0.8876887903045111j,
2.694204e-01,1.0000038309975423+0.0085316433730780j,1.0000806445314083+0.8979780905277452j,
2.725433e-01,1.0000039203232802+0.0086305345682938j,1.0000825248844194+0.9083866551787668j,
2.757023e-01,1.0000040117317823+0.0087305720210240j,1.0000844490823511+0.9189158666647379j,
2.788980e-01,1.0000041052716249+0.0088317690176178j,1.0000864181474753+0.9295671234164505j,
2.821308e-01,1.0000042009924890+0.0089341389984263j,1.0000884331220732+0.9403418400740579j,
2.854010e-01,1.0000042989452389+0.0090376955595873j,1.0000904950811673+0.9512414476749572j,
2.887091e-01,1.0000043991819076+0.0091424524548312j,1.0000926051143324+0.9622673938438540j,
2.920556e-01,1.0000045017557539+0.0092484235973074j,1.0000947643511608+0.9734211429850247j,
2.954408e-01,1.0000046067212658+0.0093556230614322j,1.0000969739303400+0.9847041764768126j,
2.988653e-01,1.0000047141342172+0.0094640650847578j,1.0000992350287561+0.9961179928683745j,
3.023295e-01,1.0000048240516719+0.0095737640698633j,1.0001015488505800+1.0076641080787090j,
3.058338e-01,1.0000049365320187+0.0096847345862678j,1.0001039166236296+1.0193440555979929j,
3.093788e-01,1.0000050516350250+0.0097969913723645j,1.0001063396030077+1.0311593866912503j,
3.129648e-01,1.0000051694218364+0.0099105493373789j,1.0001088190783776+1.0431116706043813j,
3.165924e-01,1.0000052899550340+0.0100254235633485j,1.0001113563685067+1.0552024947725811j,
3.202621e-01,1.0000054132986484+0.0101416293071255j,1.0001139528176282+1.0674334650311736j,
3.239743e-01,1.0000055395182130+0.0102591820024037j,1.0001166098081740+1.0798062058288893j,
3.277295e-01,1.0000056686807852+0.0103780972617677j,1.0001193287480419+1.0923223604436141j,
3.315282e-01,1.0000058008549857+0.0104983908787662j,1.0001221110851475+1.1049835912006400j,
3.353710e-01,1.0000059361110303+0.0106200788300100j,1.0001249583001481+1.1177915796934461j,
3.392583e-01,1.0000060745207868+0.0107431772772934j,1.0001278718991671+1.1307480270070371j,
3.431907e-01,1.0000062161577787+0.0108677025697409j,1.0001308534338023+1.1438546539438714j,
3.471687e-01,1.0000063610972596+0.0109936712459779j,1.0001339044883935+1.1571132012524079j,
3.511928e-01,1.0000065094162345+0.0111211000363276j,1.0001370266836602+1.1705254298583019j,
3.552635e-01,1.0000066611934919+0.0112500058650330j,1.0001402216748829+1.1840931210982817j,
3.593814e-01,1.0000068165096749+0.0113804058525037j,1.0001434911646356+1.1978180769567319j,
3.635470e-01,1.0000069754472989+0.0115123173175907j,1.0001468368900532+1.2117021203050267j,
3.677609e-01,1.0000071380908011+0.0116457577798853j,1.0001502606228314+1.2257470951436298j,
3.720237e-01,1.0000073045265907+0.0117807449620468j,1.0001537641855975+1.2399548668470033j,
3.763358e-01,1.0000074748430912+0.0119172967921552j,1.0001573494409968+1.2543273224113576j,
3.806980e-01,1.0000076491307830+0.0120554314060928j,1.0001610182916920+1.2688663707052690j,
3.851107e-01,1.0000078274822677+0.0121951671499523j,1.0001647726858209+1.2835739427232047j,
3.895746e-01,1.0000080099922926+0.0123365225824737j,1.0001686146224529+1.2984519918419861j,
3.940902e-01,1.0000081967578289+0.0124795164775082j,1.0001725461370370+1.3135024940802245j,
3.986581e-01,1.0000083878780899+0.0126241678265121j,1.0001765693232301+1.3287274483607632j,
4.032790e-01,1.0000085834546155+0.0127704958410684j,1.0001806863165257+1.3441288767761639j,
4.079535e-01,1.0000087835913156+0.0129185199554388j,1.0001848993033491+1.3597088248572657j,
4.126821e-01,1.0000089883945158+0.0130682598291437j,1.0001892105210572+1.3754693618448637j,
4.174655e-01,1.0000091979730144+0.0132197353495738j,1.0001936222633958+1.3914125809645304j,
4.223044e-01,1.0000094124381711+0.0133729666346308j,1.0001981368714041+1.4075405997046258j,
4.271994e-01,1.0000096319039073+0.0135279740353989j,1.0002027567461482+1.4238555600975296j,
4.321511e-01,1.0000098564868338+0.0136847781388480j,1.0002074843396258+1.4403596290041323j,
