Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
2.350350e+00,2.086940e-07,3.703260e-01,2.194411e-07,4.063630e-01,6.213515e+01,4.063630e-01,2.194411e-07,3.703260e-01,2.086940e-07,8.881312e-08,7.625422e-03,9.845122e-10,3.519685e-05,1.201314e-24,3.519685e-05,9.845122e-10,7.625422e-03,8.881312e-08,
2.369369e+00,2.127075e-07,3.888081e-01,2.194476e-07,4.063777e-01,6.213515e+01,4.063777e-01,2.194476e-07,3.888081e-01,2.127075e-07,5.616414e-08,7.027538e-03,9.314259e-10,3.511461e-05,1.201314e-24,3.511461e-05,9.314259e-10,7.027538e-03,5.616414e-08,
2.388388e+00,2.149913e-07,4.055771e-01,2.194536e-07,4.063924e-01,6.213515e+01,4.063924e-01,2.194536e-07,4.055771e-01,2.149913e-07,3.758236e-08,6.491093e-03,8.830657e-10,3.503409e-05,1.201314e-24,3.503409e-05,8.830657e-10,6.491093e-03,3.758236e-08,
2.407407e+00,2.163451e-07,4.207868e-01,2.194591e-07,4.064070e-01,6.213515e+01,4.064070e-01,2.194591e-07,4.207868e-01,2.163451e-07,2.656508e-08,6.009763e-03,8.388967e-10,3.495527e-05,1.201314e-24,3.495527e-05,8.388967e-10,6.009763e-03,2.656508e-08,
2.426426e+00,2.171940e-07,4.345869e-01,2.194641e-07,4.064216e-01,6.213515e+01,4.064216e-01,2.194641e-07,4.345869e-01,2.171940e-07,1.965490e-08,5.577619e-03,7.984579e-10,3.487814e-05,1.201314e-24,3.487814e-05,7.984579e-10,5.577619e-03,1.965490e-08,
2.445445e+00,2.177548e-07,4.471187e-01,2.194687e-07,4.064362e-01,6.213515e+01,4.064362e-01,2.194687e-07,4.471187e-01,2.177548e-07,1.508919e-08,5.189226e-03,7.613500e-10,3.480269e-05,1.201314e-24,3.480269e-05,7.613500e-10,5.189226e-03,1.508919e-08,
2.464464e+00,2.181421e-07,4.585126e-01,2.194729e-07,4.064507e-01,6.213515e+01,4.064507e-01,2.194729e-07,4.585126e-01,2.181421e-07,1.193572e-08,4.839675e-03,7.272261e-10,3.472889e-05,1.201314e-24,3.472889e-05,7.272261e-10,4.839675e-03,1.193572e-08,
2.483483e+00,2.184196e-07,4.688873e-01,2.194768e-07,4.064652e-01,6.213515e+01,4.064652e-01,2.194768e-07,4.688873e-01,2.184196e-07,9.675423e-09,4.524584e-03,6.957835e-10,3.465675e-05,1.201314e-24,3.465675e-05,6.957835e-10,4.524584e-03,9.675423e-09,
2.502503e+00,2.186248e-07,4.783498e-01,2.194803e-07,4.064796e-01,6.213515e+01,4.064796e-01,2.194803e-07,4.783498e-01,2.186248e-07,8.004327e-09,4.240063e-03,6.667571e-10,3.458624e-05,1.201314e-24,3.458624e-05,6.667571e-10,4.240063e-03,8.004327e-09,
2.521522e+00,2.187804e-07,4.869956e-01,2.194837e-07,4.064940e-01,6.213515e+01,4.064940e-01,2.194837e-07,4.869956e-01,2.187804e-07,6.736198e-09,3.982680e-03,6.399142e-10,3.451736e-05,1.201314e-24,3.451736e-05,6.399142e-10,3.982680e-03,6.736198e-09,
2.540541e+00,2.189012e-07,4.949102e-01,2.194867e-07,4.065084e-01,6.213515e+01,4.065084e-01,2.194867e-07,4.949102e-01,2.189012e-07,5.752316e-09,3.749410e-03,6.150498e-10,3.445009e-05,1.201314e-24,3.445009e-05,6.150498e-10,3.749410e-03,5.752316e-09,
2.559560e+00,2.189966e-07,5.021692e-01,2.194896e-07,4.065227e-01,6.213515e+01,4.065227e-01,2.194896e-07,5.021692e-01,2.189966e-07,4.974348e-09,3.537598e-03,5.919824e-10,3.438442e-05,1.201314e-24,3.438442e-05,5.919824e-10,3.537598e-03,4.974348e-09,
2.578579e+00,2.190733e-07,5.088398e-01,2.194922e-07,4.065370e-01,6.213515e+01,4.065370e-01,2.194922e-07,5.088398e-01,2.190733e-07,4.349027e-09,3.344911e-03,5.705513e-10,3.432034e-05,1.201314e-24,3.432034e-05,5.705513e-10,3.344911e-03,4.349027e-09,
2.597598e+00,2.191359e-07,5.149816e-01,2.194947e-07,4.065512e-01,6.213515e+01,4.065512e-01,2.194947e-07,5.149816e-01,2.191359e-07,3.839170e-09,3.169301e-03,5.506138e-10,3.425784e-05,1.201314e-24,3.425784e-05,5.506138e-10,3.169301e-03,3.839170e-09,
