Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.912913e+00,2.195223e-07,6.008097e-01,2.195175e-07,3.895765e-01,6.213515e+01,4.104182e-01,2.195261e-07,5.771295e-01,2.194159e-07,6.816826e-10,1.231885e-03,3.550448e-10,5.680646e-03,6.010188e-27,8.404612e-05,2.924870e-10,1.552143e-03,1.553636e-09,
1.931932e+00,2.195233e-07,6.010942e-01,2.195167e-07,3.858364e-01,6.213515e+01,4.104450e-01,2.195263e-07,5.787273e-01,2.194275e-07,6.729693e-10,1.239161e-03,3.616418e-10,6.094407e-03,6.010188e-27,8.499947e-05,2.908230e-10,1.517735e-03,1.458973e-09,
1.950951e+00,2.195242e-07,6.013445e-01,2.195158e-07,3.817153e-01,6.213515e+01,4.104719e-01,2.195264e-07,5.802415e-01,2.194378e-07,6.653949e-10,1.247706e-03,3.686675e-10,6.520187e-03,6.010188e-27,8.597259e-05,2.893619e-10,1.485827e-03,1.374643e-09,
1.969970e+00,2.195250e-07,6.015601e-01,2.195148e-07,3.772347e-01,6.213515e+01,4.104991e-01,2.195266e-07,5.816774e-01,2.194470e-07,6.589119e-10,1.257553e-03,3.761478e-10,6.949651e-03,6.010188e-27,8.696602e-05,2.880999e-10,1.456263e-03,1.299255e-09,
1.988989e+00,2.195256e-07,6.017405e-01,2.195138e-07,3.724424e-01,6.213515e+01,4.105266e-01,2.195267e-07,5.830399e-01,2.194553e-07,6.534801e-10,1.268742e-03,3.841115e-10,7.371779e-03,6.010188e-27,8.798030e-05,2.870335e-10,1.428901e-03,1.231650e-09,
2.008008e+00,2.195261e-07,6.018846e-01,2.195127e-07,3.674172e-01,6.213515e+01,4.105543e-01,2.195268e-07,5.843332e-01,2.194627e-07,6.490665e-10,1.281315e-03,3.925898e-10,7.772934e-03,6.010188e-27,8.901601e-05,2.861599e-10,1.403612e-03,1.170852e-09,
2.027027e+00,2.195265e-07,6.019917e-01,2.195116e-07,3.622717e-01,6.213515e+01,4.105822e-01,2.195268e-07,5.855615e-01,2.194694e-07,6.456446e-10,1.295324e-03,4.016168e-10,8.137361e-03,6.010188e-27,9.007374e-05,2.854767e-10,1.380282e-03,1.116038e-09,
2.046046e+00,2.195268e-07,6.020604e-01,2.195103e-07,3.571506e-01,6.213515e+01,4.106104e-01,2.195269e-07,5.867282e-01,2.194755e-07,6.431938e-10,1.310826e-03,4.112301e-10,8.448217e-03,6.010188e-27,9.115409e-05,2.849823e-10,1.358806e-03,1.066509e-09,
2.065065e+00,2.195270e-07,6.020895e-01,2.195090e-07,3.522226e-01,6.213515e+01,4.106389e-01,2.195269e-07,5.878368e-01,2.194809e-07,6.416996e-10,1.327883e-03,4.214710e-10,8.689113e-03,6.010188e-27,9.225769e-05,2.846753e-10,1.339089e-03,1.021668e-09,
2.084084e+00,2.195270e-07,6.020774e-01,2.195076e-07,3.476673e-01,6.213515e+01,4.106676e-01,2.195269e-07,5.888902e-01,2.194859e-07,6.411533e-10,1.346568e-03,4.323845e-10,8.846007e-03,6.010188e-27,9.338520e-05,2.845548e-10,1.321048e-03,9.810037e-10,
2.103103e+00,2.195269e-07,6.020223e-01,2.195062e-07,3.436562e-01,6.213515e+01,4.106966e-01,2.195269e-07,5.898912e-01,2.194904e-07,6.415516e-10,1.366959e-03,4.440207e-10,8.909102e-03,6.010188e-27,9.453729e-05,2.846206e-10,1.304605e-03,9.440763e-10,
2.122122e+00,2.195268e-07,6.019223e-01,2.195046e-07,3.403340e-01,6.213515e+01,4.107259e-01,2.195268e-07,5.908423e-01,2.194945e-07,6.428968e-10,1.389146e-03,4.564343e-10,8.874308e-03,6.010188e-27,9.571467e-05,2.848729e-10,1.289692e-03,9.105057e-10,
2.141141e+00,2.195264e-07,6.017749e-01,2.195029e-07,3.378009e-01,6.213515e+01,4.107554e-01,2.195267e-07,5.917458e-01,2.194982e-07,6.451968e-10,1.413226e-03,4.696860e-10,8.743892e-03,6.010188e-27,9.691806e-05,2.853123e-10,1.276249e-03,8.799628e-10,
2.160160e+00,2.195260e-07,6.015778e-01,2.195011e-07,3.361037e-01,6.213515e+01,4.107852e-01,2.195266e-07,5.926037e-01,2.195016e-07,6.484654e-10,1.439308e-03,4.838428e-10,8.526112e-03,6.010188e-27,9.814820e-05,2.859399e-10,1.264220e-03,8.521613e-10,
2.179179e+00,2.195255e-07,6.013281e-01,2.194992e-07,3.352341e-01,6.213515e+01,4.108153e-01,2.195265e-07,5.934179e-01,2.195047e-07,6.527220e-10,1.467513e-03,4.989790e-10,8.233962e-03,6.010188e-27,9.940589e-05,2.867574e-10,1.253559e-03,8.268520e-10,
2.198198e+00,2.195248e-07,6.010224e-01,2.194971e-07,3.351364e-01,6.213515e+01,4.108457e-01,2.195264e-07,5.941900e-01,2.195075e-07,6.579922e-10,1.497972e-03,5.151768e-10,7.883352e-03,6.010188e-27,1.006919e-04,2.877670e-10,1.244223e-03,8.038170e-10,
2.217217e+00,2.195240e-07,6.006573e-01,2.194949e-07,3.357194e-01,6.213515e+01,4.108763e-01,2.195262e-07,5.949217e-01,2.195100e-07,6.643081e-10,1.530835e-03,5.325280e-10,7.491174e-03,6.010188e-27,1.020071e-04,2.889714e-10,1.236177e-03,7.828656e-10,
2.236236e+00,2.195231e-07,6.002287e-01,2.194925e-07,3.368720e-01,6.213515e+01,4.109073e-01,2.195260e-07,5.956142e-01,2.195123e-07,6.717086e-10,1.566263e-03,5.511346e-10,7.073627e-03,6.010188e-27,1.033524e-04,2.903737e-10,1.229388e-03,7.638309e-10,
2.255255e+00,2.195220e-07,5.997322e-01,2.194900e-07,3.384761e-01,6.213515e+01,4.109386e-01,2.195258e-07,5.962687e-01,2.195144e-07,6.802400e-10,1.604436e-03,5.711108e-10,6.645037e-03,6.010188e-27,1.047287e-04,2.919777e-10,1.223831e-03,7.465662e-10,
2.274274e+00,2.195208e-07,5.991627e-01,2.194873e-07,3.404177e-01,6.213515e+01,4.109701e-01,2.195255e-07,5.968862e-01,2.195163e-07,6.899565e-10,1.645556e-03,5.925841e-10,6.217211e-03,6.010188e-27,1.061368e-04,2.937878e-10,1.219485e-03,7.309429e-10,
2.293293e+00,2.195194e-07,5.985145e-01,2.194843e-07,3.425942e-01,6.213515e+01,4.110020e-01,2.195253e-07,5.974677e-01,2.195180e-07,7.009213e-10,1.689843e-03,6.156979e-10,5.799251e-03,6.010188e-27,1.075778e-04,2.958089e-10,1.216333e-03,7.168482e-10,
2.312312e+00,2.195178e-07,5.977815e-01,2.194812e-07,3.449177e-01,6.213515e+01,4.110342e-01,2.195250e-07,5.980139e-01,2.195196e-07,7.132070e-10,1.737542e-03,6.406135e-10,5.397701e-03,6.010188e-27,1.090526e-04,2.980466e-10,1.214364e-03,7.041829e-10,
2.331331e+00,2.195161e-07,5.969567e-01,2.194778e-07,3.473164e-01,6.213515e+01,4.110668e-01,2.195246e-07,5.985254e-01,2.195209e-07,7.268972e-10,1.788927e-03,6.675126e-10,5.016889e-03,6.010188e-27,1.105624e-04,3.005071e-10,1.213571e-03,6.928606e-10,
2.350350e+00,2.195142e-07,5.960321e-01,2.194741e-07,3.497341e-01,6.213515e+01,4.110996e-01,2.195243e-07,5.990028e-01,2.195221e-07,7.420872e-10,1.844300e-03,6.966011e-10,4.659335e-03,6.010188e-27,1.121082e-04,3.031973e-10,1.213949e-03,6.828056e-10,
2.369369e+00,2.195121e-07,5.949990e-01,2.194701e-07,3.521281e-01,6.213515e+01,4.111328e-01,2.195239e-07,5.994464e-01,2.195232e-07,7.588858e-10,1.903998e-03,7.281126e-10,4.326170e-03,6.010188e-27,1.136912e-04,3.061249e-10,1.215501e-03,6.739523e-10,
2.388388e+00,2.195098e-07,5.938475e-01,2.194658e-07,3.544673e-01,6.213515e+01,4.111664e-01,2.195235e-07,5.998564e-01,2.195241e-07,7.774173e-10,1.968398e-03,7.623131e-10,4.017505e-03,6.010188e-27,1.153124e-04,3.092984e-10,1.218233e-03,6.662441e-10,
2.407407e+00,2.195073e-07,5.925664e-01,2.194611e-07,3.567304e-01,6.213515e+01,4.112003e-01,2.195230e-07,6.002331e-01,2.195249e-07,7.978229e-10,2.037918e-03,7.995063e-10,3.732743e-03,6.010188e-27,1.169732e-04,3.127271e-10,1.222154e-03,6.596325e-10,
2.426426e+00,2.195045e-07,5.911434e-01,2.194560e-07,3.589032e-01,6.213515e+01,4.112345e-01,2.195225e-07,6.005762e-01,2.195256e-07,8.202637e-10,2.113028e-03,8.400405e-10,3.470821e-03,6.010188e-27,1.186749e-04,3.164212e-10,1.227280e-03,6.540766e-10,
2.445445e+00,2.195014e-07,5.895642e-01,2.194504e-07,3.609774e-01,6.213515e+01,4.112691e-01,2.195220e-07,6.008858e-01,2.195261e-07,8.449237e-10,2.194252e-03,8.843165e-10,3.230400e-03,6.010188e-27,1.204186e-04,3.203918e-10,1.233630e-03,6.495426e-10,
