Schnupp length,Tuned PRC carrier,Tuned SRC carrier,Tuned X carrier,Tuned Y carrier,Tuned PRC f_1,Tuned SRC f_1,Tuned X f_1,Tuned Y f_1,Tuned PRC f_2,Tuned SRC f_2,Tuned X f_2,Tuned Y f_2,Detuned PRC carrier,Detuned SRC carrier,Detuned X carrier,Detuned Y carrier,Detuned PRC f_1,Detuned SRC f_1,Detuned X f_1,Detuned Y f_1,Detuned PRC f_2,Detuned SRC f_2,Detuned X f_2,Detuned Y f_2,
1.868687e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.604169e-01,1.199663e-03,6.968526e-03,8.725705e-03,5.153515e-01,6.354281e-03,6.847019e-04,5.919277e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.070290e-01,1.803224e-04,8.852499e-03,8.807777e-03,9.520039e-04,5.641752e-03,9.583122e-06,9.944711e-06,
1.919192e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.580167e-01,1.257011e-03,6.900229e-03,8.693029e-03,5.079306e-01,6.609438e-03,6.766514e-04,5.826521e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.070089e-01,1.901959e-04,8.852910e-03,8.807027e-03,8.323295e-04,5.374793e-03,9.043105e-06,9.378641e-06,
1.969697e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.555708e-01,1.315050e-03,6.831391e-03,8.658950e-03,5.002113e-01,6.859866e-03,6.681678e-04,5.730675e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.069881e-01,2.003321e-04,8.853315e-03,8.806272e-03,7.283729e-04,5.125497e-03,8.547993e-06,8.859878e-06,
2.020202e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.530806e-01,1.373724e-03,6.762044e-03,8.623491e-03,4.922050e-01,7.104689e-03,6.592622e-04,5.631874e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.069668e-01,2.107308e-04,8.853714e-03,8.805510e-03,6.378820e-04,4.892406e-03,8.092946e-06,8.383318e-06,
2.070707e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.505474e-01,1.432978e-03,6.692223e-03,8.586676e-03,4.839246e-01,7.343059e-03,6.499483e-04,5.530276e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.069448e-01,2.213922e-04,8.854107e-03,8.804743e-03,5.589611e-04,4.674199e-03,7.673756e-06,7.944518e-06,
2.121212e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.479728e-01,1.492755e-03,6.621961e-03,8.548530e-03,4.753853e-01,7.574163e-03,6.402425e-04,5.426055e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.069222e-01,2.323161e-04,8.854494e-03,8.803969e-03,4.900085e-04,4.469682e-03,7.286751e-06,7.539604e-06,
2.171717e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.453580e-01,1.552999e-03,6.551292e-03,8.509077e-03,4.666035e-01,7.797231e-03,6.301636e-04,5.319408e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.068990e-01,2.435024e-04,8.854874e-03,8.803189e-03,4.296669e-04,4.277773e-03,6.928712e-06,7.165180e-06,
2.222222e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.427046e-01,1.613655e-03,6.480251e-03,8.468344e-03,4.575977e-01,8.011541e-03,6.197327e-04,5.210546e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.068752e-01,2.549511e-04,8.855249e-03,8.802403e-03,3.767822e-04,4.097491e-03,6.596814e-06,6.818264e-06,
2.272727e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.400141e-01,1.674667e-03,6.408869e-03,8.426359e-03,4.483874e-01,8.216427e-03,6.089731e-04,5.099696e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.068508e-01,2.666621e-04,8.855617e-03,8.801611e-03,3.303707e-04,3.927943e-03,6.288566e-06,6.496226e-06,
2.323232e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.372878e-01,1.735979e-03,6.337182e-03,8.383148e-03,4.389935e-01,8.411286e-03,5.979100e-04,4.987097e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.068258e-01,2.786355e-04,8.855978e-03,8.800813e-03,2.895910e-04,3.768318e-03,6.001765e-06,6.196744e-06,
2.373737e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.345274e-01,1.797536e-03,6.265223e-03,8.338740e-03,4.294380e-01,8.595581e-03,5.865704e-04,4.872998e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.068001e-01,2.908710e-04,8.856334e-03,8.800008e-03,2.537216e-04,3.617880e-03,5.734460e-06,5.917757e-06,
2.424242e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.317343e-01,1.859283e-03,6.193024e-03,8.293165e-03,4.197436e-01,8.768842e-03,5.749823e-04,4.757657e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.067738e-01,3.033687e-04,8.856683e-03,8.799197e-03,2.221425e-04,3.475953e-03,5.484916e-06,5.657435e-06,
2.474747e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.289100e-01,1.921166e-03,6.120619e-03,8.246452e-03,4.099335e-01,8.930676e-03,5.631752e-04,4.641336e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.067470e-01,3.161285e-04,8.857026e-03,8.798380e-03,1.943190e-04,3.341924e-03,5.251586e-06,5.414148e-06,
2.525253e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.260561e-01,1.983131e-03,6.048041e-03,8.198633e-03,4.000315e-01,9.080762e-03,5.511793e-04,4.524302e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.067194e-01,3.291503e-04,8.857362e-03,8.797556e-03,1.697894e-04,3.215232e-03,5.033090e-06,5.186436e-06,
2.575758e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.231741e-01,2.045125e-03,5.975322e-03,8.149737e-03,3.900612e-01,9.218854e-03,5.390253e-04,4.406819e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.066913e-01,3.424340e-04,8.857692e-03,8.796726e-03,1.481537e-04,3.095363e-03,4.828188e-06,4.972997e-06,
2.626263e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.202656e-01,2.107095e-03,5.902495e-03,8.099797e-03,3.800464e-01,9.344784e-03,5.267441e-04,4.289152e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.066625e-01,3.559796e-04,8.858015e-03,8.795890e-03,1.290649e-04,2.981845e-03,4.635770e-06,4.772657e-06,
2.676768e-01,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,3.173321e-01,2.168991e-03,5.829591e-03,8.048845e-03,3.700105e-01,9.458455e-03,5.143665e-04,4.171558e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.066331e-01,3.697869e-04,8.858332e-03,8.795047e-03,1.122210e-04,2.874248e-03,4.454837e-06,4.584364e-06,
