DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-9.259259e-11,3.906389e-10,3.374381e-04,1.014028e-08,6.061188e-05,5.268408e-01,6.081469e-05,1.014095e-08,3.374508e-04,3.906492e-10,1.910981e-10,7.595453e-04,6.924671e-10,8.243827e-03,9.401057e+02,8.212446e-03,6.919863e-10,7.591897e-04,1.910446e-10,2.511472e-10,7.133954e-04,1.946992e-10,9.041218e-03,9.399176e+02,9.074347e-03,1.948351e-10,7.137286e-04,2.512175e-10,5.276372e-01,
-9.239239e-11,3.906389e-10,3.374381e-04,1.014029e-08,6.061210e-05,5.285693e-01,6.081447e-05,1.014095e-08,3.374508e-04,3.906492e-10,1.910981e-10,7.595449e-04,6.924666e-10,8.243793e-03,9.443528e+02,8.212479e-03,6.919868e-10,7.591901e-04,1.910447e-10,2.511473e-10,7.133958e-04,1.946994e-10,9.041254e-03,9.441639e+02,9.074312e-03,1.948349e-10,7.137282e-04,2.512175e-10,5.293656e-01,
-9.219219e-11,3.906389e-10,3.374381e-04,1.014029e-08,6.061232e-05,5.303050e-01,6.081425e-05,1.014095e-08,3.374508e-04,3.906492e-10,1.910980e-10,7.595445e-04,6.924661e-10,8.243759e-03,9.486282e+02,8.212513e-03,6.919873e-10,7.591905e-04,1.910447e-10,2.511473e-10,7.133962e-04,1.946995e-10,9.041289e-03,9.484384e+02,9.074276e-03,1.948348e-10,7.137279e-04,2.512174e-10,5.311014e-01,
-9.199199e-11,3.906389e-10,3.374381e-04,1.014029e-08,6.061254e-05,5.320481e-01,6.081403e-05,1.014095e-08,3.374508e-04,3.906491e-10,1.910980e-10,7.595441e-04,6.924656e-10,8.243725e-03,9.529321e+02,8.212547e-03,6.919878e-10,7.591909e-04,1.910448e-10,2.511474e-10,7.133965e-04,1.946996e-10,9.041325e-03,9.527415e+02,9.074240e-03,1.948346e-10,7.137275e-04,2.512173e-10,5.328445e-01,
-9.179179e-11,3.906390e-10,3.374381e-04,1.014029e-08,6.061276e-05,5.337986e-01,6.081381e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910979e-10,7.595437e-04,6.924651e-10,8.243691e-03,9.572647e+02,8.212581e-03,6.919883e-10,7.591913e-04,1.910449e-10,2.511475e-10,7.133969e-04,1.946998e-10,9.041361e-03,9.570733e+02,9.074204e-03,1.948345e-10,7.137272e-04,2.512172e-10,5.345949e-01,
-9.159159e-11,3.906390e-10,3.374381e-04,1.014029e-08,6.061298e-05,5.355564e-01,6.081359e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910979e-10,7.595434e-04,6.924645e-10,8.243657e-03,9.616264e+02,8.212615e-03,6.919889e-10,7.591916e-04,1.910449e-10,2.511476e-10,7.133972e-04,1.946999e-10,9.041397e-03,9.614341e+02,9.074168e-03,1.948343e-10,7.137268e-04,2.512172e-10,5.363527e-01,
-9.139139e-11,3.906390e-10,3.374381e-04,1.014029e-08,6.061320e-05,5.373217e-01,6.081337e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910978e-10,7.595430e-04,6.924640e-10,8.243623e-03,9.660174e+02,8.212649e-03,6.919894e-10,7.591920e-04,1.910450e-10,2.511476e-10,7.133976e-04,1.947001e-10,9.041432e-03,9.658242e+02,9.074132e-03,1.948342e-10,7.137264e-04,2.512171e-10,5.381180e-01,
-9.119119e-11,3.906390e-10,3.374382e-04,1.014029e-08,6.061342e-05,5.390944e-01,6.081315e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910977e-10,7.595426e-04,6.924635e-10,8.243589e-03,9.704379e+02,8.212682e-03,6.919899e-10,7.591924e-04,1.910450e-10,2.511477e-10,7.133980e-04,1.947002e-10,9.041468e-03,9.702438e+02,9.074096e-03,1.948340e-10,7.137261e-04,2.512170e-10,5.398907e-01,
-9.099099e-11,3.906390e-10,3.374382e-04,1.014029e-08,6.061364e-05,5.408746e-01,6.081293e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910977e-10,7.595422e-04,6.924630e-10,8.243555e-03,9.748882e+02,8.212716e-03,6.919904e-10,7.591928e-04,1.910451e-10,2.511478e-10,7.133983e-04,1.947004e-10,9.041504e-03,9.746932e+02,9.074060e-03,1.948339e-10,7.137257e-04,2.512169e-10,5.416710e-01,
-9.079079e-11,3.906390e-10,3.374382e-04,1.014029e-08,6.061385e-05,5.426623e-01,6.081271e-05,1.014095e-08,3.374507e-04,3.906491e-10,1.910976e-10,7.595418e-04,6.924625e-10,8.243521e-03,9.793685e+02,8.212750e-03,6.919909e-10,7.591932e-04,1.910451e-10,2.511479e-10,7.133987e-04,1.947005e-10,9.041540e-03,9.791726e+02,9.074024e-03,1.948337e-10,7.137254e-04,2.512168e-10,5.434587e-01,
