PRM transmissivity,Reflected power,
4.144144e-01,2.088719e+00,
4.154154e-01,2.091048e+00,
4.164164e-01,2.093368e+00,
4.174174e-01,2.095680e+00,
4.184184e-01,2.097983e+00,
4.194194e-01,2.100278e+00,
4.204204e-01,2.102565e+00,
4.214214e-01,2.104844e+00,
4.224224e-01,2.107114e+00,
4.234234e-01,2.109376e+00,
4.244244e-01,2.111630e+00,
4.254254e-01,2.113876e+00,
4.264264e-01,2.116115e+00,
4.274274e-01,2.118345e+00,
4.284284e-01,2.120567e+00,
4.294294e-01,2.122781e+00,
4.304304e-01,2.124988e+00,
4.314314e-01,2.127186e+00,
4.324324e-01,2.129377e+00,
4.334334e-01,2.131561e+00,
4.344344e-01,2.133736e+00,
4.354354e-01,2.135904e+00,
4.364364e-01,2.138065e+00,
4.374374e-01,2.140218e+00,
4.384384e-01,2.142363e+00,
4.394394e-01,2.144501e+00,
4.404404e-01,2.146631e+00,
4.414414e-01,2.148755e+00,
4.424424e-01,2.150870e+00,
4.434434e-01,2.152979e+00,
4.444444e-01,2.155080e+00,
4.454454e-01,2.157174e+00,
4.464464e-01,2.159261e+00,
4.474474e-01,2.161341e+00,
4.484484e-01,2.163414e+00,
4.494494e-01,2.165479e+00,
4.504505e-01,2.167538e+00,
4.514515e-01,2.169589e+00,
4.524525e-01,2.171634e+00,
4.534535e-01,2.173672e+00,
4.544545e-01,2.175703e+00,
4.554555e-01,2.177727e+00,
4.564565e-01,2.179744e+00,
4.574575e-01,2.181754e+00,
4.584585e-01,2.183758e+00,
4.594595e-01,2.185755e+00,
4.604605e-01,2.187746e+00,
4.614615e-01,2.189729e+00,
4.624625e-01,2.191707e+00,
4.634635e-01,2.193677e+00,
4.644645e-01,2.195641e+00,
4.654655e-01,2.197599e+00,
4.664665e-01,2.199550e+00,
4.674675e-01,2.201495e+00,
4.684685e-01,2.203433e+00,
4.694695e-01,2.205365e+00,
4.704705e-01,2.207291e+00,
4.714715e-01,2.209211e+00,
4.724725e-01,2.211124e+00,
4.734735e-01,2.213031e+00,
4.744745e-01,2.214931e+00,
4.754755e-01,2.216826e+00,
4.764765e-01,2.218715e+00,
4.774775e-01,2.220597e+00,
4.784785e-01,2.222473e+00,
4.794795e-01,2.224344e+00,
4.804805e-01,2.226208e+00,
4.814815e-01,2.228067e+00,
4.824825e-01,2.229919e+00,
4.834835e-01,2.231766e+00,
4.844845e-01,2.233606e+00,
4.854855e-01,2.235441e+00,
4.864865e-01,2.237270e+00,
4.874875e-01,2.239093e+00,
4.884885e-01,2.240911e+00,
4.894895e-01,2.242723e+00,
4.904905e-01,2.244529e+00,
4.914915e-01,2.246329e+00,
4.924925e-01,2.248124e+00,
4.934935e-01,2.249913e+00,
4.944945e-01,2.251697e+00,
4.954955e-01,2.253475e+00,
4.964965e-01,2.255247e+00,
4.974975e-01,2.257014e+00,
4.984985e-01,2.258776e+00,
4.994995e-01,2.260532e+00,
5.005005e-01,2.262282e+00,
5.015015e-01,2.264028e+00,
5.025025e-01,2.265768e+00,
5.035035e-01,2.267502e+00,
5.045045e-01,2.269231e+00,
5.055055e-01,2.270955e+00,
5.065065e-01,2.272674e+00,
5.075075e-01,2.274388e+00,
5.085085e-01,2.276096e+00,
5.095095e-01,2.277799e+00,
5.105105e-01,2.279497e+00,
5.115115e-01,2.281190e+00,
5.125125e-01,2.282878e+00,
5.135135e-01,2.284561e+00,
5.145145e-01,2.286238e+00,
5.155155e-01,2.287911e+00,
5.165165e-01,2.289579e+00,
5.175175e-01,2.291241e+00,
5.185185e-01,2.292899e+00,
5.195195e-01,2.294552e+00,
5.205205e-01,2.296200e+00,
5.215215e-01,2.297843e+00,
5.225225e-01,2.299481e+00,
5.235235e-01,2.301114e+00,
5.245245e-01,2.302743e+00,
5.255255e-01,2.304367e+00,
5.265265e-01,2.305986e+00,
5.275275e-01,2.307600e+00,
5.285285e-01,2.309210e+00,
5.295295e-01,2.310814e+00,
5.305305e-01,2.312415e+00,
5.315315e-01,2.314010e+00,
5.325325e-01,2.315601e+00,
5.335335e-01,2.317188e+00,
5.345345e-01,2.318769e+00,
5.355355e-01,2.320347e+00,
5.365365e-01,2.321919e+00,
5.375375e-01,2.323487e+00,
5.385385e-01,2.325051e+00,
5.395395e-01,2.326610e+00,
5.405405e-01,2.328165e+00,
5.415415e-01,2.329716e+00,
5.425425e-01,2.331262e+00,
5.435435e-01,2.332803e+00,
5.445445e-01,2.334340e+00,
5.455455e-01,2.335873e+00,
5.465465e-01,2.337402e+00,
5.475475e-01,2.338926e+00,
5.485485e-01,2.340446e+00,
5.495495e-01,2.341962e+00,
5.505506e-01,2.343474e+00,
5.515516e-01,2.344981e+00,
5.525526e-01,2.346484e+00,
5.535536e-01,2.347983e+00,
5.545546e-01,2.349478e+00,
5.555556e-01,2.350968e+00,
5.565566e-01,2.352455e+00,
5.575576e-01,2.353937e+00,
5.585586e-01,2.355416e+00,
5.595596e-01,2.356890e+00,
5.605606e-01,2.358360e+00,
5.615616e-01,2.359827e+00,
5.625626e-01,2.361289e+00,
5.635636e-01,2.362747e+00,
5.645646e-01,2.364202e+00,
5.655656e-01,2.365652e+00,
5.665666e-01,2.367098e+00,
5.675676e-01,2.368541e+00,
5.685686e-01,2.369980e+00,
5.695696e-01,2.371414e+00,
5.705706e-01,2.372845e+00,
5.715716e-01,2.374273e+00,
5.725726e-01,2.375696e+00,
5.735736e-01,2.377115e+00,
5.745746e-01,2.378531e+00,
5.755756e-01,2.379943e+00,
5.765766e-01,2.381351e+00,
5.775776e-01,2.382756e+00,
5.785786e-01,2.384157e+00,
5.795796e-01,2.385554e+00,
5.805806e-01,2.386947e+00,
5.815816e-01,2.388337e+00,
5.825826e-01,2.389723e+00,
5.835836e-01,2.391106e+00,
5.845846e-01,2.392485e+00,
5.855856e-01,2.393860e+00,
5.865866e-01,2.395232e+00,
5.875876e-01,2.396600e+00,
5.885886e-01,2.397965e+00,
5.895896e-01,2.399326e+00,
5.905906e-01,2.400684e+00,
5.915916e-01,2.402038e+00,
5.925926e-01,2.403389e+00,
5.935936e-01,2.404736e+00,
5.945946e-01,2.406080e+00,
