Frequency,Horizontal seismic motion,Requirement,
1.006939e+02,3.326562e-19,8.337848e-18,
1.011591e+02,1.156440e-18,8.247542e-18,
1.016265e+02,3.074572e-19,8.158277e-18,
1.020961e+02,3.161674e-19,8.070043e-18,
1.025678e+02,2.610016e-19,7.982826e-18,
1.030417e+02,2.888849e-19,7.896616e-18,
1.035178e+02,2.558205e-19,7.811401e-18,
1.039961e+02,3.656521e-19,7.727170e-18,
1.044766e+02,2.996362e-19,7.643910e-18,
1.049593e+02,6.160953e-20,7.561612e-18,
1.054443e+02,1.812301e-19,7.480263e-18,
1.059315e+02,2.651237e-19,7.399854e-18,
1.064209e+02,2.248758e-19,7.320373e-18,
1.069126e+02,1.336753e-19,7.241810e-18,
1.074066e+02,7.697605e-20,7.164155e-18,
1.079029e+02,1.416889e-19,7.087396e-18,
1.084014e+02,1.424021e-19,7.011523e-18,
1.089023e+02,1.403699e-19,6.936527e-18,
1.094055e+02,1.269957e-19,6.862398e-18,
1.099110e+02,1.248355e-19,6.789125e-18,
1.104188e+02,1.230854e-19,6.716698e-18,
1.109290e+02,1.352906e-19,6.645109e-18,
1.114415e+02,1.055815e-19,6.574346e-18,
1.119564e+02,1.955081e-19,6.504402e-18,
1.124737e+02,1.011471e-19,6.435266e-18,
1.129934e+02,1.838780e-19,6.366929e-18,
1.135155e+02,2.029230e-19,6.299382e-18,
1.140400e+02,1.089408e-19,6.232616e-18,
1.145669e+02,6.394084e-20,6.166622e-18,
1.150962e+02,5.373046e-20,6.101391e-18,
1.156280e+02,5.094530e-20,6.036915e-18,
1.161623e+02,5.493068e-20,5.973184e-18,
1.166990e+02,5.075831e-20,5.910191e-18,
1.172382e+02,4.198487e-20,5.847926e-18,
1.177799e+02,4.636803e-20,5.786381e-18,
1.183241e+02,7.158583e-20,5.725549e-18,
1.188708e+02,3.356862e-20,5.665420e-18,
1.194200e+02,3.074657e-20,5.605987e-18,
1.199718e+02,2.515311e-20,5.547243e-18,
1.205261e+02,2.644317e-20,5.489177e-18,
1.210830e+02,1.908718e-20,5.431785e-18,
1.216424e+02,2.002897e-20,5.375056e-18,
1.222045e+02,1.664779e-20,5.318984e-18,
1.227691e+02,1.614830e-20,5.263562e-18,
1.233363e+02,1.658618e-20,5.208781e-18,
1.239062e+02,1.644310e-20,5.154634e-18,
1.244787e+02,1.707924e-20,5.101115e-18,
1.250539e+02,1.294149e-20,5.048215e-18,
1.256317e+02,1.287931e-20,4.995928e-18,
1.262121e+02,1.219150e-20,4.944247e-18,
1.267953e+02,1.648394e-20,4.893165e-18,
1.273811e+02,1.391568e-20,4.842674e-18,
1.279697e+02,1.152752e-20,4.792768e-18,
1.285610e+02,9.348225e-21,4.743441e-18,
1.291550e+02,2.349778e-20,4.694685e-18,
1.297517e+02,9.841121e-21,4.646495e-18,
1.303512e+02,8.441363e-21,4.598863e-18,
1.309535e+02,8.235996e-21,4.551782e-18,
