DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-6.236236e-11,5.578673e-10,7.559716e-04,7.582363e-11,1.372391e-05,7.845947e-02,8.275324e-06,8.223952e-11,5.139183e-03,1.856598e-10,2.613735e-10,5.566814e-04,3.750758e-10,9.026501e-03,1.672479e+04,8.831565e-03,3.567138e-10,6.528124e-05,2.302034e-10,1.823886e-10,7.214051e-04,3.604608e-10,8.729186e-03,1.835297e+04,8.833129e-03,3.789234e-10,6.836210e-05,2.101993e-10,8.437663e-02,
-6.216216e-11,5.578673e-10,7.559716e-04,7.582363e-11,1.372396e-05,7.797504e-02,8.275294e-06,8.223951e-11,5.139183e-03,1.856598e-10,2.613734e-10,5.566811e-04,3.750755e-10,9.026466e-03,1.673131e+04,8.831600e-03,3.567141e-10,6.528128e-05,2.302035e-10,1.823886e-10,7.214055e-04,3.604610e-10,8.729220e-03,1.835464e+04,8.833094e-03,3.789231e-10,6.836207e-05,2.101992e-10,8.389219e-02,
-6.196196e-11,5.578673e-10,7.559716e-04,7.582364e-11,1.372401e-05,7.749190e-02,8.275263e-06,8.223951e-11,5.139183e-03,1.856598e-10,2.613733e-10,5.566808e-04,3.750752e-10,9.026430e-03,1.673782e+04,8.831635e-03,3.567144e-10,6.528131e-05,2.302035e-10,1.823887e-10,7.214058e-04,3.604613e-10,8.729255e-03,1.835630e+04,8.833060e-03,3.789228e-10,6.836204e-05,2.101991e-10,8.340905e-02,
-6.176176e-11,5.578673e-10,7.559716e-04,7.582364e-11,1.372406e-05,7.701006e-02,8.275233e-06,8.223950e-11,5.139183e-03,1.856598e-10,2.613733e-10,5.566805e-04,3.750749e-10,9.026395e-03,1.674432e+04,8.831670e-03,3.567147e-10,6.528135e-05,2.302036e-10,1.823887e-10,7.214062e-04,3.604616e-10,8.729289e-03,1.835793e+04,8.833025e-03,3.789225e-10,6.836201e-05,2.101991e-10,8.292721e-02,
-6.156156e-11,5.578674e-10,7.559717e-04,7.582365e-11,1.372411e-05,7.652952e-02,8.275202e-06,8.223950e-11,5.139183e-03,1.856598e-10,2.613732e-10,5.566802e-04,3.750746e-10,9.026360e-03,1.675080e+04,8.831705e-03,3.567149e-10,6.528138e-05,2.302037e-10,1.823888e-10,7.214066e-04,3.604619e-10,8.729324e-03,1.835954e+04,8.832990e-03,3.789223e-10,6.836198e-05,2.101990e-10,8.244667e-02,
-6.136136e-11,5.578674e-10,7.559717e-04,7.582365e-11,1.372416e-05,7.605029e-02,8.275171e-06,8.223949e-11,5.139183e-03,1.856598e-10,2.613731e-10,5.566799e-04,3.750743e-10,9.026325e-03,1.675726e+04,8.831740e-03,3.567152e-10,6.528142e-05,2.302037e-10,1.823888e-10,7.214069e-04,3.604621e-10,8.729358e-03,1.836113e+04,8.832955e-03,3.789220e-10,6.836195e-05,2.101990e-10,8.196744e-02,
-6.116116e-11,5.578674e-10,7.559717e-04,7.582366e-11,1.372421e-05,7.557236e-02,8.275141e-06,8.223949e-11,5.139183e-03,1.856598e-10,2.613730e-10,5.566797e-04,3.750741e-10,9.026289e-03,1.676370e+04,8.831775e-03,3.567155e-10,6.528146e-05,2.302038e-10,1.823889e-10,7.214073e-04,3.604624e-10,8.729392e-03,1.836271e+04,8.832920e-03,3.789217e-10,6.836192e-05,2.101989e-10,8.148952e-02,
-6.096096e-11,5.578674e-10,7.559717e-04,7.582366e-11,1.372426e-05,7.509575e-02,8.275110e-06,8.223948e-11,5.139183e-03,1.856598e-10,2.613730e-10,5.566794e-04,3.750738e-10,9.026254e-03,1.677013e+04,8.831810e-03,3.567158e-10,6.528149e-05,2.302039e-10,1.823889e-10,7.214077e-04,3.604627e-10,8.729427e-03,1.836426e+04,8.832885e-03,3.789214e-10,6.836188e-05,2.101988e-10,8.101290e-02,
-6.076076e-11,5.578674e-10,7.559718e-04,7.582367e-11,1.372432e-05,7.462045e-02,8.275080e-06,8.223947e-11,5.139183e-03,1.856597e-10,2.613729e-10,5.566791e-04,3.750735e-10,9.026219e-03,1.677655e+04,8.831844e-03,3.567160e-10,6.528153e-05,2.302039e-10,1.823890e-10,7.214080e-04,3.604630e-10,8.729461e-03,1.836579e+04,8.832850e-03,3.789211e-10,6.836185e-05,2.101988e-10,8.053760e-02,
-6.056056e-11,5.578674e-10,7.559718e-04,7.582367e-11,1.372437e-05,7.414646e-02,8.275049e-06,8.223947e-11,5.139184e-03,1.856597e-10,2.613728e-10,5.566788e-04,3.750732e-10,9.026184e-03,1.678294e+04,8.831879e-03,3.567163e-10,6.528156e-05,2.302040e-10,1.823890e-10,7.214084e-04,3.604633e-10,8.729495e-03,1.836730e+04,8.832815e-03,3.789208e-10,6.836182e-05,2.101987e-10,8.006362e-02,
