"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
1.675231 3.9931271E-022 8.7328711E-019 3.9931266E-022
1.6803837 3.7851091E-022 8.6409016E-019 3.7851087E-022
1.6855524 3.5813824E-022 8.5514033E-019 3.581382E-022
1.6907369 3.4053264E-022 8.4641108E-019 3.4053261E-022
1.6959373 3.2460979E-022 8.3790609E-019 3.2460976E-022
1.7011538 3.0907149E-022 8.2963394E-019 3.0907146E-022
1.7063863 2.9559881E-022 8.2159765E-019 2.955988E-022
1.7116349 2.8340188E-022 8.1376831E-019 2.8340186E-022
1.7168997 2.7153797E-022 8.0614939E-019 2.7153796E-022
1.7221806 2.6120007E-022 7.9875178E-019 2.6120006E-022
1.7274778 2.5181834E-022 7.9158181E-019 2.5181833E-022
1.7327913 2.4271519E-022 7.8460799E-019 2.4271518E-022
1.7381211 2.3472646E-022 7.7783303E-019 2.3472645E-022
1.7434673 2.2744562E-022 7.7127075E-019 2.2744561E-022
1.74883 2.2039065E-022 7.6493155E-019 2.2039064E-022
1.7542091 2.1411501E-022 7.5878153E-019 2.14115E-022
1.7596048 2.0829932E-022 7.5282313E-019 2.0829931E-022
1.7650171 2.0268126E-022 7.4707748E-019 2.0268125E-022
1.770446 1.9765371E-022 7.4157318E-019 1.976537E-022
1.7758917 1.9301479E-022 7.3635275E-019 1.9301478E-022
1.7813541 1.8852813E-022 7.3359117E-019 1.8852812E-022
1.7868333 1.8445885E-022 7.2697465E-019 1.8445885E-022
1.7923293 1.8066861E-022 7.2138994E-019 1.806686E-022
1.7978423 1.7699482E-022 7.1672721E-019 1.7699482E-022
1.8033722 1.7361549E-022 7.1230111E-019 1.7361548E-022
1.8089191 1.7043663E-022 7.0809154E-019 1.7043662E-022
1.8144831 1.6734706E-022 7.0411619E-019 1.6734705E-022
1.8200642 1.6446588E-022 7.0032505E-019 1.6446588E-022
1.8256624 1.617297E-022 6.9670054E-019 1.6172969E-022
1.8312779 1.5906273E-022 6.932802E-019 1.5906272E-022
1.8369106 1.5657619E-022 6.9010183E-019 1.5657619E-022
1.8425607 1.5425895E-022 6.871117E-019 1.5425895E-022
1.8482282 1.5197469E-022 6.8427661E-019 1.5197469E-022
1.8539131 1.4978211E-022 6.8165136E-019 1.497821E-022
1.8596154 1.476552E-022 6.7929108E-019 1.4765519E-022
1.8653353 1.455579E-022 6.7712985E-019 1.455579E-022
1.8710728 1.4353243E-022 6.7510074E-019 1.4353243E-022
1.876828 1.415602E-022 6.7329435E-019 1.415602E-022
1.8826009 1.3961489E-022 6.7180242E-019 1.3961488E-022
1.8883915 1.3772689E-022 6.7050631E-019 1.3772689E-022
1.8941999 1.358829E-022 6.6925257E-019 1.358829E-022
1.9000262 1.3406365E-022 6.6826913E-019 1.3406365E-022
1.9058704 1.3229106E-022 6.6779109E-019 1.3229106E-022
1.9117326 1.3055556E-022 6.6778038E-019 1.3055556E-022
1.9176128 1.2884302E-022 6.6779449E-019 1.2884302E-022
1.9235111 1.2717024E-022 6.6781948E-019 1.2717024E-022
1.9294276 1.2553114E-022 6.6785506E-019 1.2553114E-022
1.9353622 1.2391292E-022 6.6810994E-019 1.2391291E-022
1.9413151 1.2232714E-022 6.6899835E-019 1.2232714E-022
1.9472863 1.207689E-022 6.7031421E-019 1.207689E-022
1.9532759 1.1923045E-022 6.7181743E-019 1.1923044E-022
1.9592839 1.1772022E-022 6.7341893E-019 1.1772022E-022
1.9653104 1.1623463E-022 6.754502E-019 1.1623463E-022
1.9713554 1.1476785E-022 6.7784682E-019 1.1476785E-022
1.977419 1.1332604E-022 6.8050496E-019 1.1332604E-022
1.9835012 1.1190655E-022 6.8338707E-019 1.1190655E-022
1.9896022 1.10505E-022 6.8669321E-019 1.10505E-022
1.9957219 1.0912587E-022 6.9038415E-019 1.0912587E-022
2.0018605 1.0776721E-022 6.943869E-019 1.0776721E-022
2.0080179 1.0642568E-022 6.9866821E-019 1.0642567E-022
2.0141943 1.0510268E-022 7.0339011E-019 1.0510267E-022
2.0203897 1.0379539E-022 7.0852306E-019 1.0379539E-022
2.0266041 1.0250561E-022 7.1399959E-019 1.025056E-022
2.0328377 1.012354E-022 7.1977979E-019 1.012354E-022
2.0390904 9.998356E-023 7.2601499E-019 9.9983559E-023
2.0453623 9.8748174E-023 7.3266854E-019 9.8748173E-023
2.0516536 9.7530619E-023 7.3965302E-019 9.7530618E-023
2.0579642 9.6330027E-023 7.4690339E-019 9.6330026E-023
2.0642942 9.514501E-023 7.5459062E-019 9.5145009E-023
2.0706437 9.397645E-023 7.6264274E-019 9.397645E-023
2.0770127 9.2823725E-023 7.7090109E-019 9.2823725E-023
