Low frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),Mid frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),High frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),
1.775000e+01,3.070161e-08,7.779508e-08,1.307738e-07,2.840000e+02,7.580632e-09,5.695055e-08,1.786769e-07,9.088000e+03,8.331972e-09,6.720206e-08,1.080865e-07,
1.800000e+01,2.621737e-08,6.777164e-08,1.414562e-07,2.880000e+02,8.423476e-09,5.997791e-08,1.738550e-07,9.216000e+03,8.416505e-09,6.642235e-08,1.072131e-07,
1.825000e+01,2.563729e-08,8.655793e-08,1.361836e-07,2.920000e+02,8.497903e-09,6.854393e-08,1.772986e-07,9.344000e+03,8.424271e-09,6.752980e-08,1.049361e-07,
1.850000e+01,3.052951e-08,8.490507e-08,1.625591e-07,2.960000e+02,8.139180e-09,1.166534e-07,1.979270e-07,9.472000e+03,8.307235e-09,6.797553e-08,1.025716e-07,
1.875000e+01,3.263143e-08,6.541921e-08,1.817789e-07,3.000000e+02,7.766740e-09,1.570148e-07,2.137375e-07,9.600000e+03,8.242727e-09,6.764437e-08,1.029407e-07,
1.900000e+01,3.231135e-08,6.860785e-08,1.819099e-07,3.040000e+02,7.860369e-09,1.158901e-07,2.060113e-07,9.728000e+03,8.130230e-09,6.737693e-08,1.016109e-07,
1.925000e+01,3.059292e-08,7.854391e-08,1.728882e-07,3.080000e+02,8.210211e-09,7.057292e-08,1.902245e-07,9.856000e+03,8.165190e-09,6.660902e-08,9.923176e-08,
1.950000e+01,2.930748e-08,8.137187e-08,1.792302e-07,3.120000e+02,8.601310e-09,6.300687e-08,2.009481e-07,9.984000e+03,8.376698e-09,6.627840e-08,9.909240e-08,
1.975000e+01,2.845592e-08,8.842987e-08,2.000939e-07,3.160000e+02,8.884114e-09,6.193721e-08,2.019525e-07,1.011200e+04,8.400368e-09,6.775795e-08,9.973191e-08,
2.000000e+01,2.912681e-08,8.632076e-08,2.112460e-07,3.200000e+02,8.861824e-09,6.369688e-08,1.842614e-07,1.024000e+04,8.334935e-09,6.989509e-08,9.978087e-08,
2.025000e+01,3.129155e-08,7.995347e-08,1.915974e-07,3.240000e+02,8.372082e-09,6.900651e-08,1.822845e-07,1.036800e+04,8.262480e-09,7.121531e-08,9.756629e-08,
2.050000e+01,3.063642e-08,8.290078e-08,1.618382e-07,3.280000e+02,8.345539e-09,6.769817e-08,1.879111e-07,1.049600e+04,8.389878e-09,7.402137e-08,9.580698e-08,
2.075000e+01,2.718352e-08,7.644548e-08,1.591750e-07,3.320000e+02,8.238239e-09,6.105535e-08,1.772136e-07,1.062400e+04,8.523562e-09,7.615486e-08,9.507534e-08,
2.100000e+01,2.656806e-08,8.392034e-08,1.738117e-07,3.360000e+02,7.486914e-09,5.975915e-08,1.678061e-07,1.075200e+04,8.436396e-09,7.473535e-08,9.400340e-08,
2.125000e+01,2.962317e-08,9.581150e-08,1.800737e-07,3.400000e+02,7.830428e-09,6.147049e-08,1.952025e-07,1.088000e+04,8.428009e-09,7.047233e-08,9.151194e-08,
2.150000e+01,2.847151e-08,9.358149e-08,1.665608e-07,3.440000e+02,8.414712e-09,7.430058e-08,2.084579e-07,1.100800e+04,8.422829e-09,6.625621e-08,9.014988e-08,
2.175000e+01,3.175928e-08,8.896902e-08,1.583379e-07,3.480000e+02,7.999922e-09,1.027087e-07,2.165466e-07,1.113600e+04,8.427528e-09,6.453968e-08,8.869592e-08,
2.200000e+01,3.429743e-08,8.217778e-08,1.479521e-07,3.520000e+02,8.341674e-09,9.444526e-08,2.172965e-07,1.126400e+04,8.323980e-09,6.377574e-08,8.748222e-08,
2.225000e+01,2.941416e-08,8.302101e-08,1.596826e-07,3.560000e+02,9.295468e-09,6.200069e-08,1.931473e-07,1.139200e+04,8.152542e-09,6.444593e-08,8.950948e-08,
2.250000e+01,2.800325e-08,8.699640e-08,1.948261e-07,3.600000e+02,9.721021e-09,5.451278e-08,1.758300e-07,1.152000e+04,8.170087e-09,6.499337e-08,9.404604e-08,
2.275000e+01,2.494942e-08,8.433989e-08,1.881237e-07,3.640000e+02,9.591908e-09,5.556765e-08,1.686380e-07,1.164800e+04,8.359479e-09,6.286515e-08,9.628194e-08,
2.300000e+01,2.017280e-08,8.452827e-08,1.890817e-07,3.680000e+02,9.869694e-09,5.598752e-08,1.700387e-07,1.177600e+04,8.397601e-09,6.242954e-08,9.625995e-08,
2.325000e+01,2.555007e-08,8.472581e-08,2.057081e-07,3.720000e+02,9.490919e-09,5.503654e-08,1.679762e-07,1.190400e+04,8.290979e-09,6.326044e-08,9.658847e-08,
2.350000e+01,2.799888e-08,8.229254e-08,1.736301e-07,3.760000e+02,8.576828e-09,5.706929e-08,1.721103e-07,1.203200e+04,8.257348e-09,6.340522e-08,9.315074e-08,
2.375000e+01,2.781278e-08,8.673697e-08,1.195830e-07,3.800000e+02,8.561774e-09,5.681053e-08,1.782946e-07,1.216000e+04,8.295459e-09,6.393616e-08,8.874618e-08,
2.400000e+01,2.899271e-08,8.239606e-08,1.200404e-07,3.840000e+02,8.727107e-09,5.749799e-08,1.904924e-07,1.228800e+04,8.320105e-09,6.368045e-08,9.126681e-08,
2.425000e+01,2.714424e-08,8.098566e-08,1.499183e-07,3.880000e+02,8.869767e-09,5.883047e-08,1.977313e-07,1.241600e+04,8.302621e-09,6.353107e-08,9.915803e-08,
2.450000e+01,2.278221e-08,7.378136e-08,1.561238e-07,3.920000e+02,9.041166e-09,8.270885e-08,2.005067e-07,1.254400e+04,8.315886e-09,6.406975e-08,9.917196e-08,
