Frequency,ESD,Coil,
8.183007e-01,0.000310723486383596809394-0.004771079849015784010713j,1.134999432279715891880301-0.133930789925996107658790j,
8.296959e-01,0.000153754559379392583820-0.004886348884058810959630j,1.151686486140770515618215-0.158149599648435584819950j,
8.412497e-01,-0.000020536590229526032072-0.004997210997608538506076j,1.168460706785626079806661-0.185336785022007816126077j,
8.529644e-01,-0.000213436681200661018025-0.005101412491164636353602j,1.185031251080018721566489-0.215796389189683496256933j,
8.648423e-01,-0.000426074199631002294500-0.005196190131734513759088j,1.201022015618731897390603-0.249829810400898549849202j,
8.768856e-01,-0.000659289721042185454351-0.005278213729009361039612j,1.215957521874745150824992-0.287718084683197761197704j,
8.890966e-01,-0.000913464868118232580993-0.005343550180120429718422j,1.229250488449964873183262-0.329696876834418783897007j,
9.014776e-01,-0.001188307145181088280220-0.005387667256503290459657j,1.240193826807677535128960-0.375923015242218772069549j,
9.140311e-01,-0.001482594345861921623572-0.005405501137169733960608j,1.247960956403966203964728-0.426432177151774671752804j,
9.267593e-01,-0.001793893135110104274446-0.005391616027328114714445j,1.251619450925075538449960-0.481088857185729634746707j,
9.396648e-01,-0.002118282275873724015969-0.005340484172982755232961j,1.250163670711963215254059-0.539532223845859970623451j,
9.527500e-01,-0.002450130522622184694320-0.005246906253272745623839j,1.242571530830609782825036-0.601124857290503467055487j,
9.660175e-01,-0.002781998236846006718886-0.005106571228678619296659j,1.227888073966355575450393-0.664915172391304709620385j,
9.794697e-01,-0.003104742081740112253502-0.004916719190564757500927j,1.205333405263464108259086-0.729627381021523913062765j,
9.931092e-01,-0.003407892737225202365453-0.004676824086267134493455j,1.174424896102005400067014-0.793693274231645706784377j,
1.006939e+00,-0.003680336536388576114398-0.004389167523815475611959j,1.135094877072890362512680-0.855335880572311579861378j,
1.020961e+00,-0.003911262087897240252721-0.004059150832394674106307j,1.087778474114329485544772-0.912705152735048375056692j,
1.035178e+00,-0.004091246802104067832595-0.003695212093721400234414j,1.033445807927856119334820-0.964051633826716547481794j,
1.049593e+00,-0.004213286818644849940352-0.003308287967304291820464j,0.973561287858543455975280-1.007909966728098405397418j,
1.064209e+00,-0.004273552888559498455501-0.002910872438003267882040j,0.909969401965931568021517-1.043256307472293809013308j,
1.079029e+00,-0.004271704586284724193546-0.002515836974362330429739j,0.844725966695089702795940-1.069606916515609462692282j,
1.094055e+00,-0.004210703977681862220095-0.002135242533182880961956j,0.779908528358905894783959-1.087039483106238879628336j,
1.109290e+00,-0.004096196037280157124794-0.001779365449159978291097j,0.717443494117787072816839-1.096138739897850156168602j,
1.124737e+00,-0.003935617470725813991927-0.001456083776308165480748j,0.658979743280557750395587-1.097885697887611700096500j,
1.140400e+00,-0.003737228027633247677552-0.001170664170367050624724j,0.605823358803705303010645-1.093519199012788600811064j,
1.156280e+00,-0.003509229942082250312124-0.000925894567372830272663j,0.558932430258916479459685-1.084397885370182779141146j,
1.172382e+00,-0.003259076598517470033795-0.000722452103481734521188j,0.518959927418707778201679-1.071882841899677529795554j,
