Frequency [Hz],Magnitude,Phase [degrees]
3195.2,23.063,-158.19
3239.7,22.259,-158.45
3284.9,21.487,-158.72
3330.6,20.744,-158.99
3377,20.03,-159.27
3424,19.344,-159.56
3471.7,18.684,-159.86
3520,18.05,-160.16
3569,17.44,-160.47
3618.7,16.853,-160.78
3669.1,16.289,-161.11
3720.2,15.746,-161.44
3772,15.224,-161.77
3824.6,14.722,-162.11
3877.8,14.239,-162.46
3931.8,13.774,-162.82
3986.6,13.327,-163.18
4042.1,12.896,-163.54
4098.4,12.482,-163.91
4155.5,12.083,-164.29
4213.3,11.699,-164.67
4272,11.329,-165.05
4331.5,10.973,-165.44
4391.8,10.63,-165.84
4453,10.3,-166.24
4515,9.9826,-166.64
4577.8,9.6764,-167.05
4641.6,9.3814,-167.46
4706.2,9.0973,-167.87
4771.8,8.8235,-168.29
4838.2,8.5596,-168.71
4905.6,8.3053,-169.14
4973.9,8.0602,-169.56
5043.2,7.824,-169.99
5113.4,7.5962,-170.43
5184.6,7.3766,-170.86
5256.8,7.1648,-171.3
5330,6.9606,-171.73
5404.2,6.7636,-172.17
5479.5,6.5736,-172.61
5555.8,6.3903,-173.05
5633.1,6.2134,-173.5
5711.6,6.0427,-173.94
5791.1,5.878,-174.39
5871.8,5.7189,-174.83
5953.5,5.5654,-175.28
6036.4,5.4172,-175.72
6120.5,5.2741,-176.17
6205.7,5.1358,-176.61
6292.1,5.0023,-177.05
6379.8,4.8734,-177.5
6468.6,4.7487,-177.94
6558.7,4.6283,-178.38
6650,4.512,-178.82
6742.6,4.3995,-179.26
6836.5,4.2907,-179.69
6931.7,4.1856,179.88
7028.2,4.084,179.44
7126.1,3.9857,179.01
7225.3,3.8906,178.59
7326,3.7986,178.16
7428,3.7096,177.74
7531.4,3.6234,177.32
7636.3,3.5401,176.91
7742.6,3.4594,176.5
7850.5,3.3813,176.09
7959.8,3.3057,175.69
8070.6,3.2324,175.29
8183,3.1615,174.89
8297,3.0928,174.5
8412.5,3.0262,174.11
8529.6,2.9617,173.73
8648.4,2.8992,173.35
8768.9,2.8386,172.97
8891,2.7799,172.61
9014.8,2.7229,172.24
9140.3,2.6677,171.88
9267.6,2.6141,171.53
9396.6,2.5622,171.18
9527.5,2.5118,170.84
9660.2,2.4629,170.5
9794.7,2.4155,170.17
9931.1,2.3694,169.85
10069,2.3247,169.53
10210,2.2813,169.21
10352,2.2392,168.91
10496,2.1983,168.61
10642,2.1586,168.31
10790,2.12,168.02
10941,2.0825,167.74
11093,2.0461,167.47
11247,2.0107,167.2
11404,1.9763,166.93
11563,1.9429,166.68
11724,1.9104,166.43
11887,1.8788,166.19
12053,1.848,165.95
12220,1.8182,165.72
12391,1.7891,165.5
12563,1.7609,165.28
12738,1.7334,165.07
12915,1.7066,164.87
13095,1.6806,164.68
13278,1.6553,164.49
13463,1.6306,164.31
13650,1.6066,164.13
13840,1.5833,163.96
14033,1.5606,163.8
14228,1.5384,163.65
14426,1.5169,163.5
14627,1.4959,163.36
14831,1.4755,163.23
15038,1.4556,163.1
15247,1.4362,162.98
15459,1.4173,162.86
15675,1.3989,162.75
15893,1.381,162.65
16114,1.3636,162.56
16339,1.3466,162.47
16566,1.33,162.39
16797,1.3138,162.31
17031,1.2981,162.24
17268,1.2828,162.18
17508,1.2678,162.12
17752,1.2532,162.07
17999,1.239,162.02
18250,1.2252,161.98
18504,1.2117,161.94
18762,1.1985,161.92
19023,1.1857,161.89
19288,1.1732,161.87
19557,1.161,161.86
19829,1.1491,161.85
20105,1.1375,161.85
20385,1.1262,161.85
20669,1.1152,161.86
20957,1.1045,161.88
21248,1.094,161.89
21544,1.0838,161.91
21844,1.0738,161.94
22149,1.0641,161.97
22457,1.0546,162.01
22770,1.0454,162.05
23087,1.0364,162.09
23408,1.0276,162.14
23734,1.019,162.19
24065,1.0107,162.25
24400,1.0025,162.31
24740,0.99457,162.37
25084,0.98682,162.44
25433,0.97926,162.51
25788,0.97189,162.58
26147,0.9647,162.66
26511,0.95769,162.74
26880,0.95086,162.82
27254,0.94419,162.91
27634,0.93769,162.99
28019,0.93136,163.08
28409,0.92518,163.18
28804,0.91915,163.27
29206,0.91328,163.37
29612,0.90755,163.47
30025,0.90196,163.58
30443,0.89652,163.68
30867,0.89121,163.79
31296,0.88603,163.9
31732,0.88098,164.01
32174,0.87606,164.12
32622,0.87127,164.23
33076,0.86659,164.35
33537,0.86203,164.46
34004,0.85759,164.58
34478,0.85326,164.7
34958,0.84903,164.82
35445,0.84492,164.94
35938,0.84091,165.07
36439,0.837,165.19
36946,0.83318,165.31
37461,0.82947,165.44
37982,0.82585,165.56
38511,0.82232,165.69
39047,0.81888,165.82
39591,0.81553,165.94
40142,0.81227,166.07
40701,0.80909,166.2
41268,0.80599,166.33
41843,0.80297,166.46
42426,0.80002,166.59
43016,0.79716,166.72
43615,0.79436,166.84
44223,0.79164,166.97
44839,0.78899,167.1
45463,0.7864,167.23
46096,0.78389,167.36
46738,0.78143,167.49
47389,0.77905,167.62
48049,0.77672,167.75
