Frequency,Response,
8.277857e-02,-25.4274743128678189-1200389.6224949751049280j,
8.412497e-02,-33.1784087290185781-1219913.9493388847913593j,
8.549327e-02,-32.4266971227950194-1239755.9851414561271667j,
8.688383e-02,-37.5197332590866068-1259920.6533458114136010j,
8.829700e-02,-31.5985501511059539-1280413.4955831537954509j,
8.973316e-02,-42.8819365247982631-1301239.3480411143973470j,
9.119268e-02,-39.0136813570372354-1322404.2091931148897856j,
9.267593e-02,-42.5031298391453518-1343913.1833590525202453j,
9.418332e-02,-46.9394020161813259-1365771.9861790863797069j,
9.571522e-02,-42.9993663062736147-1387986.4853951339609921j,
9.727203e-02,-47.6020882166925503-1410562.1395129619631916j,
9.885417e-02,-53.0333069086943141-1433504.9723773726727813j,
1.004620e-01,-48.9314732944384474-1456821.1635484120342880j,
1.020961e-01,-50.4839035080262022-1480516.4810259318910539j,
1.037567e-01,-56.4397592797783503-1504597.1145499045960605j,
1.054443e-01,-52.1789668580770893-1529069.6369659746997058j,
1.071593e-01,-53.8824515001133904-1553940.0810705428011715j,
1.089023e-01,-55.6435373607486596-1579215.0450586806982756j,
1.106736e-01,-63.7405851560143049-1604900.9671090147458017j,
1.124737e-01,-62.0777946751967704-1631004.8935214856173843j,
1.143031e-01,-61.3119789409065206-1657533.3853352628648281j,
1.161623e-01,-49.2980979804179427-1684493.6295836796052754j,
1.180517e-01,-55.7636023337113897-1711891.9505637863185257j,
1.199718e-01,-78.7698919667173243-1739735.5066480245441198j,
1.219231e-01,-60.8816815154735309-1768032.9407240278087556j,
1.239062e-01,-61.9168457881338128-1796790.1704108999110758j,
1.259216e-01,-57.9706278125621708-1826015.2660093964077532j,
1.279697e-01,-76.8339459054460860-1855715.1271371203474700j,
1.300511e-01,-76.1238842233129276-1885898.5650132531300187j,
1.321664e-01,-79.0179449280649351-1916572.8463074360042810j,
1.343161e-01,-84.6353433086618168-1947745.9770583049394190j,
1.365008e-01,-89.5146570982639957-1979426.1593963825143874j,
1.387210e-01,-82.3139717325172739-2011621.9651595954783261j,
1.409773e-01,-89.1610988977218426-2044341.0399624917190522j,
1.432703e-01,-85.7802931140188889-2077592.5933785059023649j,
1.456006e-01,-99.3789274340465454-2111384.4872560231015086j,
1.479688e-01,-94.2008080633620182-2145726.5734372879378498j,
1.503755e-01,-103.7288866766805882-2180626.7920407168567181j,
1.528214e-01,-106.1014521444904091-2216094.8825799301266670j,
1.553071e-01,-101.7545835160402845-2252140.0873084785416722j,
1.578331e-01,-96.1239120249090888-2288771.6144719184376299j,
1.604003e-01,-130.9372349003411955-2325997.6402170946821570j,
1.630092e-01,-120.9877284573871776-2363830.6267280806787312j,
1.656606e-01,-119.1254156465817715-2402278.7072912394069135j,
1.683551e-01,-128.0620464075126392-2441351.7827938729897141j,
1.710934e-01,-147.2086005779303548-2481060.0281705753877759j,
1.738762e-01,-141.9064300541935495-2521414.9945195596665144j,
1.767044e-01,-156.6252291265986969-2562425.6217449316754937j,
1.795785e-01,-129.0779481593088747-2604104.8467096020467579j,
1.824993e-01,-154.2341363646199284-2646460.0376700675114989j,
1.854677e-01,-157.9109477876340577-2689504.9471579920500517j,
1.884843e-01,-166.5821045334245127-2733249.7984730862081051j,
1.915501e-01,-172.0992440808611263-2777706.2906447043642402j,
1.946656e-01,-180.7734231197127031-2822885.7417880743741989j,
1.978319e-01,-179.8531649172887228-2868800.4389337184838951j,
2.010496e-01,-174.5322635063342034-2915462.1406183019280434j,
2.043197e-01,-201.6949104304679850-2962881.4309562230482697j,
2.076430e-01,-214.3203199361070119-3011072.6165841994807124j,
2.110203e-01,-208.6966501008633372-3060048.4345545629039407j,
2.144526e-01,-215.5917744106403688-3109820.3119526389054954j,
2.179407e-01,-217.1282211469871868-3160401.9767374694347382j,
2.214855e-01,-229.9433705619508999-3211805.8475944926030934j,
2.250880e-01,-239.0706373392861224-3264045.9848022726364434j,
2.287491e-01,-225.8661514459630837-3317136.8823192734271288j,
2.324697e-01,-267.0583894150678361-3371088.6815278772264719j,
2.362508e-01,-261.5481847373512210-3425920.3079977659508586j,
2.400935e-01,-266.1925641345530948-3481643.2829185528680682j,
2.439986e-01,-278.9215662570110226-3538272.1911802315153182j,
2.479673e-01,-273.2359265331673441-3595823.1461663357913494j,
2.520005e-01,-297.5158801366270040-3654308.5975907258689404j,
2.560993e-01,-342.2528135757009409-3713744.1944296332076192j,
2.602648e-01,-298.9193519078510235-3774151.3689903588965535j,
2.644980e-01,-311.7727903793061159-3835537.9815848655998707j,
2.688001e-01,-301.5538636699529889-3897924.3820383781567216j,
2.731722e-01,-354.0824900154566421-3961321.8602223014459014j,
2.776153e-01,-360.9436747734260393-4025753.1871736063621938j,
2.821308e-01,-385.4465062830819875-4091231.4388578683137894j,
2.867196e-01,-413.1841471166807764-4157774.4993032929487526j,
2.913832e-01,-402.4443624227476448-4225402.3133955309167504j,
2.961225e-01,-401.4663396255618864-4294129.5122377052903175j,
3.009390e-01,-438.3046317360746116-4363972.1166748600080609j,
3.058338e-01,-442.9693503186961152-4434952.8715113122016191j,
3.108082e-01,-431.5272203720771813-4507089.2319591715931892j,
3.158635e-01,-466.6788395263481561-4580395.7247105129063129j,
3.210011e-01,-482.1994057933475233-4654895.9368842877447605j,
3.262222e-01,-497.9618587962237370-4730607.8955360176041722j,
3.315282e-01,-514.2866509908571970-4807551.2925867084413767j,
3.369206e-01,-531.0820960091111829-4885746.1694791484624147j,
3.424006e-01,-540.1467574325592977-4965213.5004437332972884j,
3.479698e-01,-538.2175647321950009-5045974.2885242216289043j,
3.536296e-01,-562.3390046027283233-5128046.6313862595707178j,
3.593814e-01,-551.6060808345098394-5211456.7481633340939879j,
3.652267e-01,-623.6431357608767030-5296216.6926897000521421j,
3.711672e-01,-651.5099218910290801-5382358.9650892214849591j,
3.772042e-01,-689.6290665416761385-5469901.4577758088707924j,
3.833395e-01,-686.7256714570311260-5558871.4779122220352292j,
3.895746e-01,-709.1601866999408230-5649286.3883724967017770j,
3.959110e-01,-706.1777409693447680-5741174.3078967723995447j,
4.023506e-01,-767.6393892739422427-5834550.7445500390604138j,
4.088948e-01,-769.1911273912048728-5929451.7188134621828794j,
4.155455e-01,-798.6054215425408529-6025893.6050308197736740j,
4.223044e-01,-832.5233524001749856-6123903.6680115312337875j,
4.291732e-01,-896.9440364580691494-6223504.7332126442342997j,
4.361538e-01,-819.7865790949733764-6324740.8464801684021950j,
4.432479e-01,-877.4417245866463873-6427609.1978348791599274j,
4.504573e-01,-906.5739623543885273-6532153.8625226011499763j,
4.577841e-01,-931.2758681254919111-6638399.5189255699515343j,
4.652300e-01,-994.7750378870739496-6746368.7703854786232114j,
4.727970e-01,-1041.6487778428079309-6856096.0578606594353914j,
4.804870e-01,-1075.4425423314073669-6967609.6971313664689660j,
4.883022e-01,-1059.6518768481914776-7080943.4319915305823088j,
4.962445e-01,-1100.0563209266902049-7196113.5212418325245380j,
5.043159e-01,-1183.3935502572740006-7313151.1252681203186512j,
5.125187e-01,-1221.6344009041335994-7432098.3862106679007411j,
5.208549e-01,-1317.2364403971835145-7552972.2458060132339597j,
5.293266e-01,-1289.5399205064354646-7675829.8097931295633316j,
5.379362e-01,-1385.4734184002795701-7800667.6159309633076191j,
5.466857e-01,-1387.1599402390809246-7927550.1142075806856155j,
5.555776e-01,-1431.9047039648780810-8056489.8639481198042631j,
5.646141e-01,-1542.4296803698064195-8187516.0789782609790564j,
5.737976e-01,-1525.2633481325592584-8320694.5896529201418161j,
5.831305e-01,-1622.2253304322016447-8456019.8743622414767742j,
5.926152e-01,-1687.4819162266167041-8593551.5078728795051575j,
