Frequency,Response,
6.852292e-01,45104.1811032705008984-38.2959304143254826j,
6.963745e-01,45121.7878503343090415+29.4806092073186505j,
7.077011e-01,45112.7153163030743599-4.5365542564146040j,
7.192119e-01,45111.5122699672356248-8.6249282151571265j,
7.309099e-01,45112.6884142244234681-4.6296904678169426j,
7.427982e-01,45112.2174674989655614-5.9310244106560503j,
7.548799e-01,45112.7312917653471231-4.3264022808029949j,
7.671581e-01,45125.0705926520749927+29.5386467026280570j,
7.796360e-01,45097.0573581662029028-44.4745310515436927j,
7.923169e-01,45112.1718137441202998-5.5585347813868111j,
8.052040e-01,45132.1497140908613801+39.6043133719492744j,
8.183007e-01,45090.2667307434603572-50.9019553457910092j,
8.316104e-01,45080.3748703803867102-65.9242753238607975j,
8.451366e-01,45082.3183603370562196-57.3253384200583014j,
8.588829e-01,45079.9723840719088912-55.7695970728562997j,
8.728527e-01,45146.9348269123584032+44.5851241825439502j,
8.870497e-01,45111.8841192452237010-4.9804152225990492j,
9.014776e-01,45065.2652270104736090-55.7592451055921288j,
9.161402e-01,45166.2834136653691530+46.0396659378069444j,
9.310413e-01,45112.6031839326024055-3.8808022934638871j,
9.461848e-01,45112.3337591197341681-4.0503508116703415j,
9.615746e-01,45185.0488755926489830+28.4404527590222074j,
9.772147e-01,44955.2642920147627592-47.8814837335741004j,
9.931092e-01,45114.3187541635707021-3.3721813846227633j,
1.009262e+00,45114.1215273514389992-3.6146960606208154j,
1.025678e+00,45035.9513032259419560+12.1627487050526497j,
1.042361e+00,45219.5521193100139499-42.7110701169220874j,
1.059315e+00,45115.5611352054402232-5.0197144630969888j,
1.076545e+00,45115.6408074591308832-5.4701965786987330j,
1.094055e+00,45115.7502151085063815-5.9757125977806709j,
1.111850e+00,45075.2784847132861614+34.6976201996541249j,
1.129934e+00,45115.7394009018316865-6.8894415677549432j,
1.148312e+00,45115.9202518323436379-7.6389923218807780j,
1.166990e+00,45115.5079532712697983-7.5260182953913954j,
1.185971e+00,45115.4417322324588895-7.7699766570590327j,
1.205261e+00,45115.6014329763129354-8.4389817594442320j,
1.224865e+00,45121.8856435865163803-21.6542193663931357j,
1.244787e+00,45115.2445894386619329-8.6095843954394695j,
1.265034e+00,45119.6444056620821357-19.3453209737269844j,
1.285610e+00,45125.4719738429412246-35.0685140072795321j,
1.306520e+00,45115.0124735618010163-9.2363710504531582j,
1.327771e+00,45114.9354924550279975-9.4119226278994574j,
1.349367e+00,45120.9586395164951682-27.8377580828753253j,
1.371315e+00,45114.8532864199951291-9.8453892009084711j,
1.393619e+00,45114.7698851618915796-9.9203501526257014j,
1.416287e+00,45109.7265355018898845+7.5104756915652615j,
1.439323e+00,45119.0747916838154197-26.4760682339850746j,
1.462733e+00,45114.7301165051758289-10.7666052325948840j,
1.486525e+00,45114.6548940660431981-10.7973468411471458j,
1.510703e+00,45118.0188075276091695-25.3327146542728769j,
1.535275e+00,45114.5990802366286516-11.2072689584194904j,
1.560246e+00,45117.3871650649234653-24.3524993643709422j,
1.585624e+00,45114.5368062164634466-11.6214062633844151j,
1.611414e+00,45116.7930126301944256-23.0529717306794737j,
1.637624e+00,45114.4940868951380253-11.9863434988287736j,
1.664260e+00,45112.7489779274910688-3.0216333280786785j,
1.691330e+00,45112.7184006618335843-2.8619049025166987j,
1.718839e+00,45114.5074194194748998-12.9797140012497039j,
1.746796e+00,45115.9945734525099397-22.0562864420237474j,
1.775208e+00,45114.3871387867256999-12.9436856781223923j,
1.804082e+00,45114.3837034488096833-13.2354327986020053j,
1.833425e+00,45115.9601064026355743-23.7397016088414148j,
1.863246e+00,45114.3660113327205181-13.7623169599989978j,
1.893552e+00,45114.3527934188023210-13.9982555402698381j,
1.924351e+00,45113.0521405385807157-5.1624691341655762j,
1.955651e+00,45114.3175518969073892-14.3878719000379078j,
1.987460e+00,45115.1729901442304254-21.0767947671392903j,
2.019786e+00,45114.2923597451299429-14.8660410017382674j,
2.052638e+00,45114.2914608651772141-15.1667227286161506j,
2.086024e+00,45114.2759614828974009-15.3759327608324838j,
2.119953e+00,45114.9267302835360169-21.0727305073369280j,
2.154435e+00,45113.1300848498940468-6.2901595345276746j,
2.189477e+00,45114.2541410634294152-16.1815016854750411j,
2.225089e+00,45113.7257178677245975-11.7831807127465709j,
2.261280e+00,45114.2279240228235722-16.6254805462067452j,
2.298060e+00,45114.2262913873419166-16.9436314211341141j,
2.335438e+00,45114.2192125367000699-17.2149280072628699j,
2.373424e+00,45113.8076534606516361-13.5110350407169335j,
2.412028e+00,45114.5866797771304846-21.6241770935341719j,
2.451260e+00,45114.2022311836481094-18.0751127743383222j,
2.491130e+00,45114.5237634833902121-21.8555522123533592j,
2.531648e+00,45114.1886659739539027-18.6671990184966035j,
2.572826e+00,45114.1797844152897596-18.9427013128192812j,
2.614673e+00,45114.4539892598986626-22.4137652435604195j,
2.657201e+00,45114.1693014074116945-19.5658072203420943j,
2.700421e+00,45113.9197570756077766-16.9992958742122937j,
2.744343e+00,45113.9184631006792188-17.2997167646858543j,
2.788980e+00,45114.0913834469392896-19.7745265251473938j,
2.834343e+00,45113.9480645963922143-18.3212846082037686j,
2.880444e+00,45113.9443793911486864-18.6119837444098266j,
2.927295e+00,45114.3099013362079859-23.7621014107890005j,
2.974908e+00,45113.9670360097661614-19.6049552360868802j,
3.023295e+00,45113.9729181472212076-20.0461091835663865j,
3.072469e+00,45114.1296001067385077-22.6155058140175242j,
3.122443e+00,45114.1301523596048355-23.0361968316374259j,
3.173230e+00,45113.9857512824237347-21.3620444625330492j,
3.224842e+00,45113.9923575138673186-21.8494796802829114j,
