Frequency,R = 0.990000,R = 0.999000,R = 0.999900,
8.549327e-02,0.0003424547326446+0.0000004091777168j,0.0001650119104447+0.0000008442431251j,0.0001445440652049+0.0000019644463358j,
8.688383e-02,0.0003403118505260+0.0000016995919222j,0.0001627097429883+0.0000013289131767j,0.0001422383133679+0.0000016223055011j,
8.829700e-02,0.0003381818800523+0.0000014284193547j,0.0001604511498223+0.0000021119001685j,0.0001399455451754+0.0000039960697385j,
8.973316e-02,0.0003360949215109+0.0000011787843609j,0.0001582293798748+0.0000015402080528j,0.0001377411208364+0.0000003734779618j,
9.119268e-02,0.0003340412721697+0.0000018214622825j,0.0001560379676096+0.0000013763889142j,0.0001355437023780-0.0000006568102044j,
9.267593e-02,0.0003320497015786+0.0000008326614720j,0.0001538929215182+0.0000008868491286j,0.0001333675279085+0.0000009275497664j,
9.418332e-02,0.0003300397195197+0.0000009209429285j,0.0001517717977079+0.0000014862642174j,0.0001312407565839+0.0000003126338833j,
9.571522e-02,0.0003280879836692+0.0000023572400068j,0.0001496837969658+0.0000013601686543j,0.0001291235512582+0.0000029689722626j,
9.727203e-02,0.0003261379486865+0.0000011625143238j,0.0001476298172721+0.0000020203166386j,0.0001270598482506+0.0000025034596985j,
9.885417e-02,0.0003242549206573+0.0000013086488633j,0.0001456158780042+0.0000011411872962j,0.0001250444084843+0.0000005153949384j,
1.004620e-01,0.0003223974342662+0.0000003807768571j,0.0001436196398178+0.0000016912456926j,0.0001230360998540+0.0000016572585728j,
1.020961e-01,0.0003205673571496+0.0000006621529365j,0.0001416678983808+0.0000013742190673j,0.0001210563267546+0.0000022405135725j,
1.037567e-01,0.0003187696659633+0.0000004866091214j,0.0001397395635762+0.0000014893968891j,0.0001191198621211+0.0000020761032671j,
1.054443e-01,0.0003169726900934+0.0000016040960482j,0.0001378424609874+0.0000014502957030j,0.0001172058045057+0.0000025639931852j,
1.071593e-01,0.0003152243206763+0.0000022333621191j,0.0001359691121803+0.0000023536271888j,0.0001153317942987+0.0000022430457013j,
1.089023e-01,0.0003134939245510+0.0000008173296089j,0.0001341473960531+0.0000010140186672j,0.0001134733779593+0.0000030866497811j,
1.106736e-01,0.0003118054772259+0.0000022583926358j,0.0001323185733425+0.0000022495800128j,0.0001116619789905+0.0000023011071470j,
1.124737e-01,0.0003101213681976+0.0000018550360307j,0.0001305347005321+0.0000022860470415j,0.0001098681634930+0.0000023034401285j,
1.143031e-01,0.0003084803343112+0.0000018586339956j,0.0001287807686708+0.0000027506881146j,0.0001081120153571+0.0000014308196531j,
1.161623e-01,0.0003069051479107+0.0000012347773135j,0.0001270511209627+0.0000027912830562j,0.0001063765673327+0.0000012012271721j,
1.180517e-01,0.0003052832836961+0.0000021937979418j,0.0001253636068408+0.0000019081906463j,0.0001046520092193+0.0000029024615418j,
1.199718e-01,0.0003037044296606+0.0000022505048305j,0.0001237051730483+0.0000007660169603j,0.0001029766697205+0.0000020848782543j,
1.219231e-01,0.0003021632360054+0.0000012389578794j,0.0001220363024142+0.0000029244828126j,0.0001013077353191+0.0000030868890947j,
1.239062e-01,0.0003006357031725+0.0000017201462908j,0.0001204150081836+0.0000026769598576j,0.0000996921867481+0.0000019131647388j,
1.259216e-01,0.0002991416403260+0.0000020568245437j,0.0001188281194831+0.0000017631185481j,0.0000980764646258+0.0000025985584432j,
1.279697e-01,0.0002976840761681+0.0000026781950224j,0.0001172548908541+0.0000020450998479j,0.0000965005779933+0.0000023235160952j,
1.300511e-01,0.0002962163240628+0.0000020657827940j,0.0001157164375161+0.0000015316860789j,0.0000949483685509+0.0000020265238288j,
1.321664e-01,0.0002948046208542+0.0000023481488215j,0.0001141853247568+0.0000019967319066j,0.0000934046699405+0.0000026546592167j,
1.343161e-01,0.0002933873638846+0.0000022863808711j,0.0001126859592969+0.0000022368383842j,0.0000919170056080+0.0000014483902623j,
1.365008e-01,0.0002919889730816+0.0000018738899785j,0.0001112048872923+0.0000025025276204j,0.0000904172206814+0.0000024312214005j,
1.387210e-01,0.0002906191537819+0.0000018558900308j,0.0001097616743091+0.0000018461162954j,0.0000889636406848+0.0000019291306680j,
1.409773e-01,0.0002892762852383+0.0000019530971801j,0.0001083233294257+0.0000024445115872j,0.0000875271515141+0.0000016934749575j,
1.432703e-01,0.0002879664306328+0.0000020216727304j,0.0001069185610710+0.0000019267902030j,0.0000860956938544+0.0000025144136831j,
1.456006e-01,0.0002866578013802+0.0000025341687107j,0.0001055258792797+0.0000022739033426j,0.0000846904763474+0.0000030683478703j,
1.479688e-01,0.0002854116068422+0.0000023132690351j,0.0001041630436031+0.0000020900854992j,0.0000833213921978+0.0000025451852876j,
1.503755e-01,0.0002841462926060+0.0000023408255519j,0.0001028194304440+0.0000020060112538j,0.0000819813051904+0.0000022021542891j,
1.528214e-01,0.0002828806678766+0.0000022159870062j,0.0001014940429404+0.0000022136388283j,0.0000806455355056+0.0000022210008376j,
1.553071e-01,0.0002816560547517+0.0000020932329109j,0.0001001811927004+0.0000028158876680j,0.0000793183936023+0.0000028311643982j,
1.578331e-01,0.0002804429619590+0.0000020952461538j,0.0000988984231765+0.0000024697511820j,0.0000780303855313+0.0000028138832294j,
1.604003e-01,0.0002792718670148+0.0000021790329298j,0.0000976377492198+0.0000022632310214j,0.0000767591152914+0.0000027616844335j,
1.630092e-01,0.0002780952063886+0.0000022009564649j,0.0000963907362476+0.0000023924463062j,0.0000755088107528+0.0000026018958729j,
1.656606e-01,0.0002769314133858+0.0000021578762402j,0.0000951731709658+0.0000019383721700j,0.0000742854022030+0.0000021130627360j,
1.683551e-01,0.0002758215773325+0.0000024289682889j,0.0000939517882447+0.0000026727286610j,0.0000730846990932+0.0000015329593110j,
1.710934e-01,0.0002746921882023+0.0000022787553970j,0.0000927681858108+0.0000024144560196j,0.0000718611542330+0.0000026110708112j,
1.738762e-01,0.0002736392133783+0.0000027317818008j,0.0000916226774985+0.0000014499097695j,0.0000706990764436+0.0000019557583624j,
1.767044e-01,0.0002725545612491+0.0000030427625223j,0.0000904271936148+0.0000030096588064j,0.0000695280100137+0.0000023355469038j,
1.795785e-01,0.0002714400327582+0.0000019613522020j,0.0000892989045516+0.0000025864649607j,0.0000683807483197+0.0000026012294941j,
1.824993e-01,0.0002703874782820+0.0000021728937428j,0.0000881781636026+0.0000027401694286j,0.0000672456370763+0.0000027605908828j,
1.854677e-01,0.0002694009651605+0.0000028273035887j,0.0000870877205934+0.0000023214781815j,0.0000661265400613+0.0000031158112636j,
